Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Смартфон Apple iPhone XR,petrovii,"Россия, Чебоксары",+38,полное непонятие желающих обладать этим телефоном,"новый аккумулятор, снятие блокировки лицом","цена, неоправданный шумок поднятый на пустом месте","к технике apple отношусь спокойно, при выходе очередной новинки, судорожного восторга не испытываю. Признаюсь в семье, все пользуемся их продукцией, нет ни одного андроида. НО! я достаточно продолжительное время пользовался 5s и он меня всем устраивал, и при этом я не покупал его, выдали на работе. Так же как и этот выдали, я честно не вижу смысла покупать Xr за 65 000, из существенных различий отмечу только разблокировка по лицу. Как 5s был прямоугольным так и этот, 5-ый которым я пользовался, тянул абсолютно все приложения необходимые мне по работе, у меня не было проблем ни с игрушками ни со специализированными программами, единственный огромный минус это сильно под уставший аккумулятор, что и послужило причиной замены на новый.",Отзыв рекомендуют:74,24
Смартфон Apple iPhone XR,copperframe,"Россия, Москва",+544,Теперь я в тренде,"Размеры, стоимость, возможности, автономность",нет двойной камеры,"Да, это не топовый телефон компании в этом году, так как есть iPhone XS и XS Max, но и что с того? Начинка то у телефона топовая, а это для меня главное. Обо всем по порядку.",Отзыв рекомендуют:32,8
Смартфон Apple iPhone XR,Tatoshka2992,"Беларусь, Минск",+873,Я в восторге от телефона!,"Качественный, стильный, быстрый, звук, камера, для меня их просто миллион.",Высокая цена.,Добрый день всем!,Отзыв рекомендуют:57,23
Смартфон Apple iPhone XR,Kseniya2085,"Россия, Москва",+105,Новинки смартфонов от Apple как всегда радуют.,"Доступная цена, камера высокого качества, водонепроницаемость, жк- экран.",Нет 3D Touch,"Здравствуйте. Две недели назад купила себе смартфон iPhone XR, красного цвета. Восторгу моему нет предела. Упакован в традиционную белую коробку. В комплектации тоже нет ничего не обычного: документация, наклейка, адаптер, сурепка, наушники EarPods и кабель Lightning.",Отзыв рекомендуют:25,7
Смартфон Apple iPhone XR,Dim1779d,"Россия, Москва",+352,Ставлю ложную единицу и вот почему,Отличный айфон на все четыре с плюсом,"Дорогой, игры программы аксессуары все платное и дорогое","Пятьдесят процентов отзывов про Айфон Xr не настоящие. Просматривая и читая понимаешь, что написаны в течении пяти минут из информации в интернете. Банальные характеристики и скучные, одинаковые плюсы и минусы как под копирку. Даже телефон в руках они не держали, но отзыв оставить успели. Пусть это останется на их совести. Начнём. С 2011 года пользовался только смартфонами на платформе андройдом, были разные телефоны есть отзовы о них. К айфонам на платформе iOS относился спокойно. О покупке даже и не думал. И вот в марте месяце по совету друзей на полагающуюся мне премию, честно заработанную, решил купить новый смартфон. Уже остановился на выборе Huawei 20 или 20 pro, выбирал из за экрана. Amoled и ips. Много читал про то что не всем подходят новые экраны болят глаза и портиться зрение. Даже про шим много видео посмотрел. В магазинах держал в руках. И не было радости в новинке, как и мой старый Huawei P10 plus, только не много обновлён по лучше по мощнее, все остальное одинаково. Как ко мне пришла мысль купить айфон, сам не знаю не могу вспомнить. Да я всегда смотрел на них с каким то пренебрежениям. Много было минусов которые я опишу позже и они сразу мне закрывали на них глаза. И вот у жены разбивается телефон не в дребезги, но падение было хорошее и он начал тормозить, работать плохо. И как раз на глаза мне попадается iPhone XR. Ну думаю значит отдаю свой и покупаю новый.",Отзыв рекомендуют:28,8
Смартфон Apple iPhone XR,Deciel,"Россия, Санкт-Петербург",+81,стильная и умная игрушка,"качество, удобство, служба поддержки",цена,"Мое знакомство с фирмой Apple началось в далеком 2013 году, когда я уже замучился со своим кнопочным телефоном от Нокиа, который уже стыдно было доставать из кармана в приличном обществе и решил приобрести что-то модное))). Долго выбирал между ""флагманами"" от Самсунга и Сони. Друг сказал : ""Бери айфон и ни о чем не думай""... и я взял... iPhone 4S на 16 Гб. И ни о чем не думал после этого, кроме как о нем...iCloud, iTunes, App Store... Очень долго мучился, ничего не понимал. Где привычное ""скачать"", ""копировать-вставить"" ? Плевался страшно, вспоминал друга непечатными словами. Но уже через полгода так привык к нему, что плеваться перестал потихоньку. Поначалу приходилось читать на официальном сайте инструкции, где, что и как работает. Хочу отметить службу поддержки Apple. С такой доброжелательностью и участием, желанием помочь разобраться я не сталкивался ни в одной компании. Помню свои первые обращения к ним по телефону и так стыдно...))) И ведь даже не смеялся никто. С полной серьезностью все разжевывали, пошагово инструктировали куда и в како последовательности нажимать. И вот, прошло 5 лет и мой айфон стал страшно тормозить, совсем страшно. Зависает конкретно. Работать можно, конечно, но без нервов никак. За это время успел поменять в нем один раз батарею и два раза заднюю стеклянную панель. Выглядит почти как новый. Но душа попросила чего-то бОльшего. И я решил себе сделать подарок на Новый год, тем более, что доллар все рос и рос, а Re:store неожиданно мне подарил скидку на 2000 руб. А так как средств не так уж и много, то после просмотра и чтения огромного количества отзывов и обзоров на ютубе, я остановился на iPhone XR 128 Гб black. В комплекте проводные наушники, неплохие, лучше чем были, по крайней мере. Хотя от беспроводных я был бы в восторге. Провод лайтнинг... теперь не нужно смотреть, каким концом в телефон его совать. Работает, как ни сунь)). Вилка на 1 мА. Докупил на Алиэкспресс беспроводную быструю зарядку Baseus за 1000 руб, отличная вещь. Положение можно менять с горизонтального на вертикальный, потому как фейс-ай-ди не разблокирует телефон, когда он лежит. Там же заказал несколько чехлов на него, тож недорого, рублей по 250. Ах да, забыл... наклейки - яблоки на крышку унитаза, ну или кому куда хватит фантазии их наклеить). И про сам телефон, собственно.",Отзыв рекомендуют:20,0
Смартфон Apple iPhone XR,radmmmirrr,"Россия, Москва",+5,Один из лучших смартфонов в 2018 году?,Прекрасный дизайн дисплей Liquid Retina мощный процессор прекрасная камера Face-ID Как всегда на высшем уровне,Высокая стоимость Быстрое загрязнение Не сильно большое количество времени держится заряд,Айфон Xr- Новое поколение Apple...,Отзыв рекомендуют:14,1
Смартфон Apple iPhone XR,Vasiliy Ignatov,"Россия, Москва",+2497,Бренд,Цена,Толщина,Всем привет!,Отзыв рекомендуют:33,2
Смартфон Apple iPhone XR,iamroman,"Россия, Москва",+13,бюджетный iPhone серии X,Качественный телефон за приемлемую цену с отличной производительностью,нет двойной камеры,"Недавно решил купить новый iPhone из серии X, выбор пал на iPhone XR. Отличный телефон по привлекательной цене с большим экраном и с функцией распознавания лица, а так же последним процессором A12. Он оказался водонепроницаемым, что и спасало его от небольшого падения в воду. Очень понравилась камера, правда она у него только одна, 12 Мп с хорошим 5 кратным цифровым увеличением и 7 Мп фронтальная, ну это просто цифры, у дешевого же андроида с 13 Мп камера в разы хуже. Купил беспроводную зарядку, которая мне по сути не нужна, она не очень удобная, так как телефон должен лежать на ней, а пользоваться лежачим телефоном не очень, плюс заряжается медленнее. Есть три варианта памяти (64,128 и 256 Гб), я взял 128, потому что мне не нужно много. Хороший и очень качественный экран на всю панель. Есть очень удобная функция NFC, с поддержкой режима считывания, что очень актуальна, ведь носить с собой разные карты не очень удобно, когда все может быть у тебя в телефоне. Качественный и объёмный стереозвук, что не может не радовать. Да и аккумулятор сильно порадовал, работающий в режиме разговора до 25 часов. Больше чем у iPhona X на 4 часа. В комплекте были наушники с отличным звучанием EarPods. Еще приятная новинка, у телефона две сим карты.",Отзыв рекомендуют:9,0
Смартфон Apple iPhone XR,dfgrand,"Россия, Новокуйбышевск",+183,Ближе к народу,"Камера, Face ID, Стоимость, Процессор, AR, экосистема",Lightning а не usb-C,"Пользуюсь продукцией Apple уже более 6 лет. Меняю модели телефонов не каждый раз, а по мере поступления новых технологий. До этого был iPhone 6s 16 gb. Вполне устраивал, но памяти не хватало. Решил - пора обновляться. Выбор пал на самый приближенный к народу по цене iPhone XR (из флагманов) на 64 gb. Однозначно он стоит своих денег (покупал в 2019 г. за 56.000р.), хоть на рынке цена считается высокой. Камера с портретным режимом, тайм-лапс, замедленная съемка, анимоджи, поддержка беспроводной зарядки, face id, дополненная реальность (пока что для баловства)",Отзыв рекомендуют:10,1
