Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Озон ""Флуоксетин""",ЕФБ,"Россия, Саратов",+451457,Иногда он просто спасение,Возвращает к жизни+похудение,"Серьезный препарат, по рецептам, только под наблюдением врача","Данный препарат Флуоксетин назначала моей маме врач-психиатр, как антидепрессант необходимый ей после смерти сына. Всегда огромной трагедией является неправильность, когда родители вынуждены хоронить своих детей и пережить подобное всегда очень трудно. Переживаниям матери потерявшей любимого сына, не было ни конца, ни края, поэтому пришлось обратиться к психиатру.",Отзыв рекомендуют:357,33
"Антидепрессант Озон ""Флуоксетин""",Ronechka111,"Россия, Санкт-Петербург",+11,"Себя оправдал, но есть побочки.","Уравновешивает психику, поднимает настроение, отбивает аппетит.",Возможны побочки.,"Все мнения верны, поскольку действует индивидуально. Напишу о своем опыте. У меня было три курса флу по 2-4 месяца. Первый раз прописал врач на фоне легкой депрессии. Потом сама себе прописывала ;-) Заодно похудела, что было для меня немаловажно. Отбивает аппетит, поднимает настроение. Это два огромный плюса для меня. Важно подобрать правильную дозировку. Как объяснял мне врач, настроение должно быть ровное со знаком плюс. Начала с 20 мг. Потом пила 30,40. Больше никогда не поднимала. Если решитесь принимать без рекомендаций врача, то начинайте с малого и прислушивайтесь к ощущениям. Прибавляйте дозу постепенно, если нет результатов. Я первую неделю пила 20, потом 30, еще через неделю подняла до 40. Поняла, что больше не надо. Настроение норм, аппетит слабый. Последний курс пила по 20 мг, поняла, что больше не нужно. Синдрома отмены нет абсолютно. Препарат медленно выводится организмом, поэтому абсолютно ничего не обычного не чувствуется. Я просто прекращаю его пить и продолжаю жить обычной жизнью. Прекращаю, когда понимаю, что он больше пока не нужен: настроение в норме, вес тоже. ",Отзыв рекомендуют:137,0
"Антидепрессант Озон ""Флуоксетин""",Mihaeldark,"Россия, Тамбов",+72,"хотел быть добрым, а похудел.",помогло,похудел,"Были одно время небольшие расстройства, бессонница, страшные сны.",Отзыв рекомендуют:89,8
"Антидепрессант Озон ""Флуоксетин""",njnjm,"Россия, Москва",+6,Флуоксетин меня буквально спас!,Дешево и более чем эффективно,Много побочных эффектов,"Думала, что у меня проблемы с кардиологией, не могла ездить на общественном транспорте на протяжении семи лет, не могла находиться в замкнутых и людных помещениях, поднималось давление, начинало бешено биться сердце, казалось что не хватает кислорода, темнело в глазах, бросало в пот и все это сопровождалось диким страхом. ",Отзыв рекомендуют:69,7
"Антидепрессант Озон ""Флуоксетин""",leto vesna5,Россия,+2382,Не помогает,Нет,Не помогает,"Пью флуоксетин уже две недели на фоне постоянного невроза. Начитавшись отзывов, очень боялась начинать его пить. Но все же решилась. И, к моему удивлению, ничего не ощутила, что пью, что не пью его. Пробовала увеличить дозировку до 30 мг два раза в день, все равно нет эффекта. Сначала думала, что может быть купила подделку, но приобрела фруоксетин уже в другой аптеке. Изменений так же никаких. Валерианка и пустырник и то лучше помогают. ",Отзыв рекомендуют:16,7
"Антидепрессант Озон ""Флуоксетин""",guger3232,"Россия, Северск",+22,Очень полезное и эффективное средство,Помогает при психических расстройствах,Нету тут минусов,"Полезное и в принципе не дорогое средство от расстройства, нервов. Успокаивает очень хорошо, не вызывает привыкание, и да действительно он способствует сбрасыванию веса. Принимая его вы можете очень сильно похудеть, по этому в инструкции написано для людей у кого есть предрасположение к анорексии нужно принимать аккуратно. ",Отзыв рекомендуют:46,2
"Антидепрессант Озон ""Флуоксетин""",Upryamaya,"Россия, Москва",+3,Препарат работает!,Препарат работает!,"Сухость во рту, хотя это приучило меня, наконец, пить воду ))","Поделюсь и я. На работе случилось сокращение, на нервах обострилась язва желудка, короче, сидела дома и жрала. Ночами не спала, только и думала, как жить, да как кредит выплачивать. Флуоксетин посоветовала подруга, которая, оказывается, сидит на нем (внимание!) 12 лет!!! Пьет по году, иногда по 8-10 месяцев, потом делает небольшой перерыв и опять пьет. Пьет по одной таблетке в день по 20 мг после завтрака. Я начала пить также. Утром тарелку овсянки, потом таблетку и вперед, к новым свершениям! )) Пью около месяца, похудела на 8 кг. Но не из-за того, что аппетита совсем уж нет, просто он уменьшился и я, наконец, смогла его КОНТРОЛИРОВАТЬ! Смогла сесть на диету ""Пять ложек"" и придерживаться её! Раньше я и думать не могла, что смогу питаться, и, главное, НАЕДАТЬСЯ! такими маленьками порциями, как 200 грамм! Мне и полкило мало было зачастую! ",Отзыв рекомендуют:39,0
"Антидепрессант Озон ""Флуоксетин""",Garita,"Россия, М",+11643,Не подошёл и я нашла другой выход,Цена,"Побочные ужастики, древние таблетки","Врач назначил мне антидепрессант Флуоксетин, так как у меня панические атаки возникали каждый день. Естественно я думала, что долго так не протяну)).",Отзыв рекомендуют:33,11
"Антидепрессант Озон ""Флуоксетин""",EndoX,Россия,+46226,Утро начинается,"Недорого, эффективно","есть противопоказания, сильнодействующий препарат",Уже почти полгода принимаю Флуоксетин. Полностью перешла на фирму Озон.,Отзыв рекомендуют:80,21
"Антидепрессант Озон ""Флуоксетин""",Bengalka2013,"Россия, Тольятти",+22,"Не ждать пока ""мозги закипят"" ! -Флуоксетин поможет...",Всего одна капсула в день! Очень демократичен по цене),Длительный курс приема.,Никогда не принимала лекарственных препаратов сильнее персена и аспирина. ,Отзыв рекомендуют:26,2
"Антидепрессант Озон ""Флуоксетин""",Аноним318822,"Россия, Казань",+3,чуть не сдох,нету плюсов,я уже перечислил,"ребята не знаю как на вас подействует, но я чуть не сдох итак, начал принимать по 40мг сначало в первой неделе ходил бодрячком, настроение отличное но уже на второй неделе начались проблемы сильная сонливость, затуманливает сознание вечно в непонятках ходил как будто мозг отключается просто мозг да такой степени затупливается, нету сил, сильное потоотделение повышенная температура 38.7. а я в это время еще принимал думал пройдет, родители говорили бросай пить эту фигню, а я пил и пил думал нервишки подлечу. и в конце концов попал в реанимацию 3 суток под системой валялся. потом выписали лечещий врач поставил диагноз сиротиновый синдром сказали мог быть летальный исход. и сказал без разрешения невролога строго НЕ ПРИНИМАТЬ!!!!",Отзыв рекомендуют:26,4
"Антидепрессант Озон ""Флуоксетин""",Санса Старк,Россия,+11854,"Таблетки для дурочек-анорексичек. Я тоже пила, но по назначению.","делает человека счастливым, уходит раздражительность, депрессия и злость уходят, нет привыкания.","головная боль, потеря аппетита.",Всем Доброго времени суток.,Отзыв рекомендуют:63,5
"Антидепрессант Озон ""Флуоксетин""",lasth0pe,"Россия, Рыбинск",+1,Работает! Наберитесть терпения,"Цена, эффективность, депрессию лечит",Побочки,Доброго всем здоровья! ,Отзыв рекомендуют:23,0
"Антидепрессант Озон ""Флуоксетин""",Любовная любовь,"Россия, Рязань",+13097,Флуоксетин - лучший антидепрессант.,"Помогает, недорогой.",Продается по рецепту.,"Этот препарат мне назначил врач- психиатр, выписал рецепт. Флуоксетинов в аптеке было очень много и все стоили по-разному.",Отзыв рекомендуют:17,2
"Антидепрессант Озон ""Флуоксетин""",Bayuna,"Россия, Москва",+246,"Нормальный препарат, имеющий огромный плюс по сравнению с другими","Достаточно эффективно, без неприятных побочных эффектов, дёшево.",Иногда попадаются пустышные партии.,"Я себе ""выписала"" этот Флуоксетин сама - врачи прописывали мне другие антидепрессанты, большинство из которых имеет однозначно не подходящий мне побочный эффект - запор. Единственное исключение - Иксел - тоже хороший препарат, даже лучше Флуоксетина, но на 2 порядка дороже, я себе такого позволить не могу. Пить Флуоксетин просто для того, чтобы худеть, по-моему, странно (хотя многие тут об этом пишут) - лично на моём весе он никак не отражается, просто хожу в туалет нормально и всё. ",Отзыв рекомендуют:21,5
"Антидепрессант Озон ""Флуоксетин""",Lesychka,"Россия, Сыктывкар",+6,Только по назначению врача!,Не хочется есть,"Болит голова Бессонница Ходишь как зомби Сложный отказ (болят суставы, голова и тд)","Дорогие девушки, желавшие похудеть с помощью этого препарата, не глупите! Зачем портить свое здоровье??? Я повелась на отзывы в интернете, мол ""Отбивает аппетит"", ""Сбросила вес!"" и купила этот препарат, мне удалось сделать это и без рецепта... Действие началось на 3 день после приема... Да, мне не хотелось есть, но при этом я ещё и не могла спать нормально, болела целыми днями голова и стала как зомби! Не стоит ради фигуры гробить здоровье! Не занимайтесь самолечением! Если вас беспокоит что-то в вашем пищевом поведении посетите врача! А ещё очень тяжело отказываться от этого препарата, состояние не из лучших... Мучает больв суставах, головная боль, тошнота... В интернете позже прочла, что были и случаи самоубийств во время отказа...!",Отзыв рекомендуют:20,2
