Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Ланнахер ""Флуоксетин""",olgasmir,"Россия, Петрозаводск",+136180,"Лучше не болеть, а уж если заболели - поскорее поправляться...",Помог препарат.,Могут быть побочные эффекты.,"Доброго времени суток, читатели Отзовик!",Отзыв рекомендуют:113,47
"Антидепрессант Ланнахер ""Флуоксетин""",Марина Гейдрих,"Россия, Можайск",+32268,"Лекарство отличное, вытягивает из депрессии за 2 месяца.","удобство применения, накопительный эффект. Реально лечит.","более чем серьёзное лекарство, действует на мозг. Побочные эффекты.","С ""Флуоксетином"" я знакома уже давно. После страшного 2013 года, когда меня накрыли панические атаки, тахикардия, депрессивное состояние и вегето-сосудистая дистония, я считаю ужаснее ничего в моей жизни произойти больше не может.",Отзыв рекомендуют:93,20
"Антидепрессант Ланнахер ""Флуоксетин""",Tatoshkys,"Россия, Москва",+11032,Помог при булимии! Мощное средство с мягким действием-флуоксетин. Отзыв дополнен.,Помогает при булимии и депрессии,"По рецепту, побочки",Всем привет!,Отзыв рекомендуют:64,15
"Антидепрессант Ланнахер ""Флуоксетин""",Lagerta1,"Украина, Мариуполь",+33,Постараюсь помочь советом с высоты своего опыта с этим преператом...,"Помогают однозначно, после прекращения приема перестал помогать.","Отсутствие побочных эффектов, цена.","Всем привет. Если Вы читаете мой отзыв, значит не беспочвенно - имеете проблемы, подобные моим. И это печально, так как постоянная тоска и тревога не позволяет полноценно жить и наслаждаться каждым мгновением.",Отзыв рекомендуют:34,1
"Антидепрессант Ланнахер ""Флуоксетин""",lenutsa,"Россия, Иваново",+19117,"Помог, плюс еще дал дополнительный приятный результат","Действует при депрессии, недорогое, плюсом снижает аппетит",Влияет на либидо,"Мне всегда казалось, что антидепрессанты - это что-то ужасное. Но вот пришлось попробовать один из них - ""Флуоксетин"". И я поняла, что ничего особо ужасного нет в этом препарате, наоборот, он довольно хорош. Естественно, если его вы не сами себе выписали, а назначил врач.",Отзыв рекомендуют:87,16
"Антидепрессант Ланнахер ""Флуоксетин""",Velevla,"Россия, ОбновлениеПенза",+169064,Помогает преодолеть депрессию),Помогает преодолеть трудные периоды в жизни,"Вреден, как и все лекарства",Всем читающим - здравствуйте!,Отзыв рекомендуют:118,8
"Антидепрессант Ланнахер ""Флуоксетин""",Елена581327,"Россия, Москва",+49,есть эффект от лечения АНС,"Хорошее настроение, нет повторение симптомов, стабильный вес, интерес к жизни, легкость в движении, кишечник и желудок нормально принимает лекарство.","Лишний раз хочется полежать, но это и так все любят))","Обратилась к врачу по поводу немотивированного плача, нервозности, слабости, усталости, тремора рук, злости, агрессии, безразличию к прошлым интнресам, плохого сна. Я с 20 лет жила какбудто мне сто лет, еле ноги переставляла. Для меня было открытием, что люди ночью спят беспробудным сном!",Отзыв рекомендуют:14,0
"Антидепрессант Ланнахер ""Флуоксетин""",irene33,"Россия, Москва",+53,"Хороший, недорогой препарат","недорогой, помогает",для меня нету,"Об этом препарате я узнала от знакомого врача, он говорил что это ""успокоительное"", и продается без рецепта. Но на самом деле, это антидепрессант, аналог Прозака. В США этот препарат очень распространен. На данный момент это устаревший недорогой антидепрессант, есть много более современных препаратов, но без рецепта новые не продают. То как ваш организм среагирует на антидепрессант, никто не знает, даже врач. ",Отзыв рекомендуют:12,1
"Антидепрессант Ланнахер ""Флуоксетин""",Victimmm,"Россия, Саратов",+43,Поменяло.,Помогает избавиться от обсессий.,Побочные эффекты.,"Был период в жизни, некие события, стечения обстоятельств и т. п., которые принудили к приему данного препарата. ",Отзыв рекомендуют:12,3
"Антидепрессант Ланнахер ""Флуоксетин""",Lylly,"Россия, Санкт-Петербург",+15964,Пошло сильное привыкание,"Цена, результат во время приёма","Побочные эффекты после отмены, зависимость","После рождения второго ребёнка меня ""накрыло"", я начала много нервничать, стала раздражительной и малотерпимой к окружающим.",Отзыв рекомендуют:54,15
"Антидепрессант Ланнахер ""Флуоксетин""",White noize,"Россия, Севастополь",+3350,Это не совсем то что я ждала от антидепрессанта,"убирает нервозность, успокаивает, да я стала чувствовать себя лучше, перестала плакать, похудела","снижение либидо, отсутствие оргазма, появление агрессии, тошнит от еды","Приветствую всех кто читает мой отзыв про Флуоксетин Ланнахер, в оригинале он же Прозак. Отзыв не ради денег, а для опыта другим людям. Потому что начиталась я тут очень разных версий. Вот вам моя. Вообщем, пришла я к психотерапевту с жалобами на подавленное настроение, постоянную плаксивость, постоянную головную боль аж до тошноты, тревожность, проблемы со сном, нервозом, у меня дергался глаз и иногда рука.",Отзыв рекомендуют:6,2
"Антидепрессант Ланнахер ""Флуоксетин""",ягненок,"Россия, кострома",+5,Помогает похудеть,помогает справиться с жором,нет,"Хочу написать свой отзыв о Флуоксетине. Начала пить его сама, начиталась в интернете и себе его прописала. Знаю, что так нельзя, но уж очень хотелось похудеть. Пить начала когда лежала с ребенком в больнице. Покупала без рецепта наш русский. Пропила две недели, и перестала т. к. не могла проснуться я вставала и падала обратно на кровать, сил не было встать. Когда выписали из больницы, я даже на работу не пошла села на больничку. Муж не мог меня разбудить я даже ревела как спать хотелось. Потом пошла к психологу и она мне его прописала я купила уже Ланнахер (производитель) Совсем другое дело!!! никаких побочек, о которых пишут. Похудела, пропал жор с которым я не могла справиться. Энергии стало больше и все хорошо. Спокойней стала на многие вещи смотреть.",Отзыв рекомендуют:7,0
"Антидепрессант Ланнахер ""Флуоксетин""",Tanyulechka,"Россия, ВАЖНО НовоеИнфо",+11940,Действенно и доступно по цене,"эффективность при панических атаках, подавление аппетита, цена,возможность приобрести без рецепта","привыкаемость,вследствие чего перестает помогать","Примерно с 14 лет у меня появились первые признаки вегето-сосудистой дистании. Кто сталкивался с этим, тот знает какие у этого заболевания могут быть неприятные проявления. Это и обмороки, перепады артериального давления, реакция на любые перемены погоды и прочее. Как такового лекарства нет, есть только временно облегчающие симптоматику препараты. В таком возрасте, увы, наши педиатры и терапевты ставят этот диагноз со словами ""все пройдет вместе с переходным возрастом"". Действительно, у кого-то проходит, но я не стала таким счастливчиком и вегето-сосудистая дистония переросла в более серьезные заболевания, такие как панические атаки и агарофобия.",Отзыв рекомендуют:12,5
"Антидепрессант Ланнахер ""Флуоксетин""",Julia Komis,"Россия, Москва",+7,он изменил мою жизнь))) но не всем он показан,"не было побочек, но они возможны, читай гугл",организм привыкает. и без флу после отмены противно жить,"в сентябре 2017 года волею судеб обратилась ко врачу с деликатной проблемой, - посмотрев в зеркало, поняла, что я уже просто в беде, ибо вес мой велик, 126 кг. столько я не весила даже перед родами. не хочется становиться бабулькой в 37 лет - подумала я - и пошла сдаваться врачам. ",Отзыв рекомендуют:7,1
