Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Egis ""Стимулотон""",Санса Старк,Россия,+11854,"Мой опыт приема ""Стимулотона"".",помогает,высокая цена,"Стимулотон это антидепрессант, который относится к группе СИОЗС. Это антидепрессанты нового поколения, максимально бережно воздействующие на психику и нервную систему пациента. Они провоцируют выработку серотонина, гормона счастья и радости - таково их действие.",Отзыв рекомендуют:75,11
"Антидепрессант Egis ""Стимулотон""",Zerkana,"Украина, Львов",+181644,"эффективен, но мне ""не пошёл""","эффект, удобство","цена, побочки","С декабря прошлого года лечусь антидепрессантами, поскольку пережила сильнейший стресс, последствия которого не смогла побороть самостоятельно. Частично помогли транквилизаторы (отзывы о них писала, это ",Отзыв рекомендуют:81,14
"Антидепрессант Egis ""Стимулотон""",LIKUSHA,"Россия, Рыбинск",+5711,Надежный помощник при агорафобии и панических атаках!,"эффективность, нет привыкания",цена,"Как же я уже много писала об антидепрессантах! Просто хочется поделиться своим опытом с теми, кто еще стоит на ранних стадиях развития ужасных проблем с нервной системой. Слишком длинный и тернистый путь я прошла... Много было ошибок и разочарований, пока мне не подобрали правильную схему лечения, благодаря которой я могу жить пусть не совершенно полноценно, но на много лучше. ",Отзыв рекомендуют:22,4
"Антидепрессант Egis ""Стимулотон""",Galjun4ik,"Россия, Барнаул",+4194,Ужаснейший препарат,их нет,ужасные побочки,"Мне поставили диагноз Вегето-Сосудистая Дистония(ВСД), мне назначали очень много различных препаратов, но ничего не помогало. И невролог решил ""избавиться"" от меня, назначив препарат Стимулотон. Я купила его, думала а вдруг поможет, но не тут-то было. Пришла домой, покушала и решила начать лечение, выпила таблетку, через 15 минут меня поклонило в сон и я прилегла, только закрыла глаза и тут понеслось:началась экстрасистолия(преждевременные удары сердца), тахикардия(учащенное сердцебиение), давление поднялось 160 на 100, зрачки расширились, по всему телу пошли колики, приливы, тошнота, сухость во рту, зевота(при зевании у меня начинались позывы на рвоту). Я 2 дня отходила от этой таблетки, немогла ничего есть и пить, только сделаю глоток воды-меня сразу рвёт. Никому не советую принимать этот препарат.",Отзыв рекомендуют:10,14
"Антидепрессант Egis ""Стимулотон""",TechnoJackal,"Россия, Челябинск",+332,"Ощутила на себе весь спектр побочных эффектов. Апатия, тошнота, отсутствие аппетита, снижение либидо, головные боли.",Прекратились приливы крови к лицу.,"Отсутствие аппетита, тошнота, тремор, головокружения, снижение либидо, цена.",Здравствуйте.,Отзыв рекомендуют:9,2
"Антидепрессант Egis ""Стимулотон""",Lagerta1,"Украина, Мариуполь",+33,"Помогет поддерживать ритм жизни, как ни в чем не бывало.","Минимум побочных эффектов,длительная ремиссия.","Долго ждать эффекта,подорожал в последнее время","Свой опыт в принятии различных антидепрессантов и причины их употребления разглашать не буду, но препарат"" Стимулотон"" мне подошел. Важно знать, что ""присаживаешься"" на него довольно долго - от трех недель до двух месяцев. Все это время остается сниснуть зубы и терпеть, пока не наступит эффект.",Отзыв рекомендуют:8,1
"Антидепрессант Egis ""Стимулотон""",nobek,"Украина, Северодонецк",+7,Помогает при ПА.Социофобию частично.,Быстрый эффект.От депрессии то что нужно.,Побочные действия при снижении дозировки.,"Принимал стимулотон по 50мг в день, продолжительностью 3 месяца. Назначил психотерапевт совместно с гидазепамом. Причина, панические атаки, социофобия, тревога безпричинная.",Отзыв рекомендуют:8,1
"Антидепрессант Egis ""Стимулотон""",ЛИЛЮША777,"Россия, Белгород",+28091,"Доктор хвалил, а он не подошел мне.",индивидуально,индивидуально,"Доброго времени дня или ночи, уважаемые читатели отзывов!",Отзыв рекомендуют:17,1
"Антидепрессант Egis ""Стимулотон""",Angelika-777,"Россия, Симферополь",+43,"прекрасный препарат, особенно у кого затяжная после родовая депрессия",Стойкий потрясающий эффект,Накопительный эффект,"Прекрасный препарат, помогает не только справиться с послеродовой затяжной депрессией, но и с головными болями, кошмарами, метеочувствительностью. После тяжёлых родов многие сталкиваются с тем, что стали очень нервными, истерики и слёзы каждый день, растроеный сон, сильные головные боли, агрессия. На весь этот букет невропатолог назначает стимулотон. Первые недели три состояние может быть ещё хуже, больше агрессии, истерики, слез. А как только препарат начанает накапливаться в организме на мир смотришь совсем другими глазами. Главное правильно вместе с врачом подобрать дозировку и настроиться на длительный приём. Главное не бояться признать, что нужна помощь специалиста и принимать лекарство и вы поймёте, что значит жить и наслаждаться жизнью",Отзыв рекомендуют:5,1
"Антидепрессант Egis ""Стимулотон""",Мадам Д,Беларусь,+1,Просто жесть,нет,"апатия, падение либидо, ухудшение памяти и мышления, тахикардия, тошнота, головная боль",Несколько лет назад у меня был не самый простой период.,Отзыв рекомендуют:5,0
"Антидепрессант Egis ""Стимулотон""",sermina,"Россия, Рязань",+3,"антидепрессант с минимальным количеством побочных действий. Снижение аппетита, как побочное действие для некоторых только +","Не вызывает привыкания,как многие препараты подобного ряда.Много аналогов. Можно купить без рецепта в Турции. Международное название - Сертралин.","У кого снижен вес, принимать с осторожностью.","Доктор назначил препарат во время климакса. Действие препарата начинается, спустя 6-10 дней, от начала приёма. Не заметно для себя улучшилось настроение. Сон стал продуктивным, снизился аппетит, что для меня только плюс. За месяц не заметно 2кг потеряла",Отзыв рекомендуют:4,3
"Антидепрессант Egis ""Стимулотон""",doc111,"Молдова, Кишинев",+2,Отличное средство при глубокой депрессии,Снимает симптомы депрессии уже через 2-3 недели приема.,Длительное лечение (от трех месяцев и выше)и стоит дороговато.,"Данный препарат мне прописывал врач при глубокой депрессии. В первые 2 недели я принимал по пол таблетки в сутки (по утрам), потом принимал по одной таблетки в сутки. Первые эффекты препарата я почувствовал через неделю и постепенно от депрессии не осталось и следа. Через 2 месяца решил резко бросить лечение и тут все началось заново и даже стало хуже (шум в ушах, дрожь и нервозность). Решил продолжить лечение еще на месяц и потом начал отходить, постепенно уменьшая дозу вполовину... Сейчас я его уже не принимаю а мое общее состояние отличное. ",Отзыв рекомендуют:6,1
"Антидепрессант Egis ""Стимулотон""",AR07071986,"Беларусь, Минск",+5069,На мир взглянула по-другому.,"Эффект, удобство.",Цена,"Доброго времени суток. Решила и я поделится впечатлениями об препарате, который начала принимать после родов. У всех на слуху послеродовая депрессия, вот и она у меня была на слуху до вторых родов. Не буду описывать те ужасы, которые со мной происходили до принятия этих таблеток. Но об этом позже.",Отзыв рекомендуют:15,5
"Антидепрессант Egis ""Стимулотон""",Алерин,Беларусь,-0,Помогает побороть депрессию.,"Снимает тревожные расстройства, улучшает сон.","В первую неделю приёма беспокоят изменённые состояния. Сердце, сон, опьянение.",Стимулотон мне был назначен в комплексе с флюанксолом. Оба припарата выписываютя по рецепту. Диагноз: соматический сбой на фоне депрессии. ,Отзыв рекомендуют:2,0
"Антидепрессант Egis ""Стимулотон""",Аноним1707968,"Россия, Пермь",-0,Неожиданно печальный результат,Кому то помог,"Побочки, цена","Врач прописал 1 таб утром. Прочитала отзывы, очень много положительных, настроилась с оптимизмом на лечение. Первый день ощущения были непонятные, немного кружилась голова и была частая зевота, ночью проснулась в 5 утра и не смогла уснуть. ",Отзыв рекомендуют:1,1
"Антидепрессант Egis ""Стимулотон""",elephant68,"Украина, Киев",-0,препарат очень серьезный в смысле побочек,Я их не заметил,"зомбирование психики, удаление всяческих желаний, (очень негативное действие на половую сферу), напротив, вызывает апатию","Уже третий раз в своей жизни пытаюсь перейти от трицикликов (саротен) на СИОЗСы и все безрезультатно. Стимулотон, который я пил месяц, тоже показал себя практически только с отрицательной стороны. ",Отзыв рекомендуют:1,0
"Антидепрессант Egis ""Стимулотон""",Яков Васюков,Россия,+33,Мягкий эффективный антидепрессант,эффективное воздействие без побочных эффектов,цена,"Антидепрессант нового поколения, рецепторный, производится в Венгрии. Был назначен психотерапевтом при диагностированном ТРД (тревожно-депрессивном расстройстве). До этого недолгое время принимал другой антидепрессант, более ""грязный"" и дешевый, отличавшийся большим количеством побочек (болезненное восприятие яркого света, громких звуков, тошнота, головокружение). После замены на стимулотон эти ""спецэффекты"" исчезли, чему очень рад. Побочек от стимулотона не было. ",Отзыв рекомендуют:1,1
"Антидепрессант Egis ""Стимулотон""",Аноним1960142,"Беларусь, Minsk",-0,Хуже препарат надо поискать,Плюсов нет (какой плюс может быть от самого настоящего наркотика),Стимулотот один большой минус,"Отзыв пишу спустя 3 года после приема Стимулотона, лечился пол года. Эти пол года были просто адом при жизни, но я сильный человек и решил пройти курс до конца так как верил что этот препарат принесёт хоть не много какой то пользы. Препарат похож на действие наркотика а именно амфетамина. Эмоции которы испытывал раньше сейчас отсутствуют. Раньше я мог легко влюбиться сейчас это мне не под силу, Стимулотон здорово нарушает нормальну выработку нейромидеаторов. В последствии нарушился сон( до приема препарата спал очень хорошо) сон стал поверхностным и беспокойным. Первое время вообще не мог уснуть без снотворных. Из за плохого сна стал менее активным быстро утомляюсь. Мои знакомые заметили что я постарел, в глазах пропала искра. Ухудшилось зрение (появилось некое размыте в глазах). Появился шум в ушах особенно при не значительных стрессах. Но есть и плюс, после так называемого лечения я стал ещё сильнее и мои прошлые стрессы, неудачи показались полной ерундой по сравнению с действием побочек стимулотона.",Отзыв рекомендуют:1,1
"Антидепрессант Egis ""Стимулотон""",Morozz 31,Россия,+6,"Убрал тревогу, панические атаки","Помогает от тревоги, панических атаках,убирает депрессию.Не вызывает сильного привыкания.","Дорогой,есть побочки","На протяжении долгого времени беспокоят панические атаки, агорафобия. Стимулотон я принимаю около года, его мне выписал врач. Мне он помог справиться с тревогой и страхом. Я снова могу выходить на улицу, ходить по магазинам. Этот антидепресант, противотревожнный, не вызывает сонливости но к нему нужно привыкнуть. Первые дни приёма тревога может усилиться, может подташнивать. Когда организм привыкнет к сертралину состояние улучшится, тревога и напряжение постепенно уйдёт. Улучшится настроение и захочется чем нибудь заниматься а не сидеть без дела. Правда первое время у меня была небольшая диарея, усталость и небольшая плаксивость, но со временем это прошло. Стимулотон продаётся по рецепту. Упаковка 50мг стоит 1,023 руб 30 таблеток. Дороговато.",Отзыв рекомендуют:1,0
