Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Pfizer ""Золофт""",Irinaka78,"Россия, Москва",+28,"На мой взгляд, эффективный препарат с понятным принципом действия.",Хорошо исследованный и в моем случае очень эффективный препарат. Очень важно найти свою дозировку.,"Побочных эффектов много, но они проходят через 2 недели приема.","Панические атаки мучали меня жестко на протяжении нескольких лет. Страх спускаться в метро, тревога, мокрые ладони, боли в желудке, кишечнике, в левой лопатке и в правом боку - все это гоняло меня по разным врачам и съедало кучу денег. Я безуспешно пыталась лечиться у гомеопата, пила персен, пустырник и валокордин, пока однажды не свалилась с высоким давлением. Приехавшая скорая (которые меня уже знали по неоднократным вызовам) посоветовала мне обратиться к психотерапевту и попить что-то более серьезное. Психотерапевт выписал мне Золофт с обязательной параллельной психотерапией. Он предупредил меня, что в первые две недели приема препарата могут усилиться паники и все те ощущения, которые меня мучали. Входила я в этот курс по специальной схеме, назначенной врачом, по которой потом и выходила. Самолечением тут заниматься нельзя, может стать сильно плохо. И даже очень сильно плохо. В общем, две недели были, мягко говоря, неприятными, но я звонила врачу каждый раз, когда мне было плохо или страшно. По итогам мы скорректировали мне дозу с одной таблетки на половинку. По прошествии двух недель мне реально стало лучше, и с каждым днем становилось все спокойнее и увереннее. Панические атаки постепенно прекратились совсем, вернулась давным давно забытая радость жизни, интерес к каким-то другим вещам, кроме болячек и врачей, перестало болеть все: прошел желудок, бок, лопатка. Я перестала бегать по клиникам. Я начала совершенно новую жизнь! У меня стало лучше и в семье (я больше не мучала близких своими нескончаемыми недомоганиями и мнимыми диагнозами), и на работе (я наконец смогла заняться на работе работой, а не чтением медицинских порталов с описаниями болезней). Я сменила работу и стала больше получать. Я ввязалась в ипотеку и мы купили квартиру. Звучит невероятно, но это за два года с психотерапевтом и Золофтом. Я пила его двумя курсами: первый раз - пол-года по половинке раз в день, второй раз через 8 месяцев - по четвертинке раз в день. ",Отзыв рекомендуют:183,11
"Антидепрессант Pfizer ""Золофт""",dornroschen,"Россия, Москва",+2904,Создателям ЗОЛОФТА нужно ставить ПАМЯТНИК при жизни!,"эффективен, не вызывает сонливости, не тормозит, сознание остается ясным. Побочек не испытывала. Привыкания нет.",для меня их нет,"Впервые я познакомилась с препаратом ЗОЛОФТ ещё в далеком 1997 году. Применяется препарат, в основном, для лечения депрессивных состояний и панических атак.",Отзыв рекомендуют:84,30
"Антидепрессант Pfizer ""Золофт""",huliganka5551,"Россия, Ижевск",+23,"шикарный препарат,который действительно помогает",Оказывает быстрое положительное действие,"Ощущение дизориентации,немножко шатает","Мучалась с паническими атаками, проходила обследование у разных врачей, сделала все возможные анализы, и мрт и уздг и рэг и т д, а все анализы проводились чтобы выявить окончательный диагноз, так как панические атаки сопровождались сильным сердцебиением и скачками давления, то высокое, то низкое., полуомрачным состоянием и постоянным головокружением. ",Отзыв рекомендуют:31,5
"Антидепрессант Pfizer ""Золофт""",Vladilena,"Россия, Красноярск",+2,Длительно - несколько лет. Полет нормальный. Еще есть подобные примеры?,"Длительный эффект, стойкий результат, мягкое действие.","Только психологическое осознание, что ты принимаешь антидепрессант.","Пишу потому, что не встречала в жизни подобного примера, как со мной. Принимаю золофт более 10 лет по 1/2 таблетки в среднем (весной по целой, летом - по четвертинке, в августе вообще не пью) - строго по рекомендации врачей и руководствуюсь внимательно своими чувствами и проблемами, причем не только психиатров, но и в первую очередь кардиологов - у меня большие проблемы с сердцем. ",Отзыв рекомендуют:29,1
"Антидепрессант Pfizer ""Золофт""",Аноним1214068,"Россия, Новосибирск",+5,Пока не знаю,Пока нет,Пока нет,Люди! Нафига вы пишите негативные отзывы!!! Им и без ваших негативных отзывов плохо! У меня сильнейшие панические атаки и при любом страхе или переживании начинает скакать давление и начинается паника!!! Начитавшись ваших отзывов я отказывалась от приема Золофта долгое время. ,Отзыв рекомендуют:27,5
"Антидепрессант Pfizer ""Золофт""",Silent Lady,"Россия, Москва",+6387,"Эффект, пожалуй, есть, но насколько же он ничтожен...","Немного помогает. Даёт мало побочек (а если и даёт, то несерьёзные).",Слабый эффект.,"Здравствуйте. Сидела тут, вспоминала про свои болячки и вот решила написать про ""Золофт"" :)) Который я когда-то принимала. Сложно вспомнить, как долго, но несколько месяцев его я его пила, это я помню. Чуть менее полугода, наверное.",Отзыв рекомендуют:5,1
"Антидепрессант Pfizer ""Золофт""",Аноним596921,"Россия, Санкт-Петербург",+4,Не пейте эту дрянь!,нет,На фоне приема препарата можно повредить другие органы.,"Психоневролог назначил золофт 50 мг 1раз в день утром. Сразу после приема ноги стали ватными, захотелось прилечь (Это касается всех, кто водит машину - не пить утром ни в коем случае!). Еще через пол часа заболел желудок, поджелудочная, появилась отрыжка и тошнота, кишечник вспучило. Весь желудочно-кишечный тракт не удалось восстановить в течение 24 часов! Более того, пропал аппетит (вот почему в инструкции в побочных эффектах - потеря веса!). Ночью беспокойный сон, головные боли. Врач ответил на все это - надо привыкнуть, через 2 недели пройдет. Что за химия, к которой надо привыкать целых 14 дней с такими симптомами! Не пейте и не портьте себе здоровье!",Отзыв рекомендуют:21,3
"Антидепрессант Pfizer ""Золофт""",LIKUSHA,"Россия, Рыбинск",+5711,Хороший препарат для лечения панических атак и агорафобии.,"мало побочных действий, хорошо переносится",нет,"Я уже 8 лет живу как в аду... Замучили панические атаки, а их последствием стала ужасная агорафобия. Годы мучений... Из дома не выходила месяцами и постоянная тревожность, страх сама не знаю чего.",Отзыв рекомендуют:23,6
"Антидепрессант Pfizer ""Золофт""",натусик1962,"Украина, Нужны активные друзья",+16831,Хороший препарат мне очень помог,Читайте отзыв,Читайте отзыв,"И начну наверное серию ""испытано на своей шкуре"" и первым в этом списке станет такой препарат как: Антидепрессант Pfizer ""Золофт"".",Отзыв рекомендуют:24,10
"Антидепрессант Pfizer ""Золофт""",Vracho,"Россия, Екатеринбург",+5,"препарат с выраженным антидепрессивным эффектом. Побочки, конечно, есть.",Эффективный препарат,Не все пациенты могут справиться с побочками в первый месяц,"Принимаю золофт в течение 6 лет. По 25-50 мг в сутки. Два раза делал перерывы по 3 мес, но в связи с интенсивной работой снова возвращался на Золофт. Побочные эфекты при первичном приеме были сильно выражены примерно 1 мес. В виде головокружения, спутанности сознания, нарушений способности ориентироваться в пространстве, сухости во рту, мидриаза, поноса, тахиаритмии. Очень тяжело было работать. Вообще степень выражнности побочек по моим наблюдениям за пациентами принимающими золофт, прямо кореллирует с исходным состоянием - чем острее депрессия либо паническое рсстройство тем тяжелее заходить на золофт. Был один знакомый с ОКР без провлений депрессии так он начал с 50мг в сутки, довел дозу за мес до 200 мг и только носился как угорелый в гипомании, да руки все мыл. Ни на че не жаловался. Кто собирается отказаться от приема в первые недели советую все же потерпеть, если ситация до приема действительно была плохая, то она после отмены вернется, а если пережить, то точно будет лучше.",Отзыв рекомендуют:14,2
"Антидепрессант Pfizer ""Золофт""",Кобольдинка,"Россия, Екатеринбург",+12,Сильные побочки,Похудела,побочные эффекты!,"Я пила Золофт около двух недель. Видимо, его надо пить гораздо дольше, чтобы дождаться от него того самого оптимизма и легкой радости от жизни, про которые многие тут пишут:)",Отзыв рекомендуют:13,1
"Антидепрессант Pfizer ""Золофт""",Sherfik88,"Россия, Красногорск",+515,"Помог, но пришлось долечивать тревожное расстройство",избавилась о депрессии и мыслей о смерти,"Отмена прошла очень тяжело, ощущение, что всё лечение было насмарку (но это только эффект отмены)","Здравствуйте! Если Вы читаете этот отзыв, то проходите то же самое, что прошла я. Я всегда считала себя сильной девушкой, столько всего пережила, но всегда меня называли хохотушкой, преодолела многое. Но похоже меня подкосило всё вкупе - смерти близких, банкротство застройщика и украденные деньги, которые предназначались на ремонт, а тут ещё рак дедушки и деменция бабушки.",Отзыв рекомендуют:9,2
"Антидепрессант Pfizer ""Золофт""",Faulbeere,"Украина, Киев",+2,Остаться в живих,Эффективность,Дорого,"Не буду описывать все, что довелось пережить. Я думаю в аду похоже. Хотелось скорее дожить до пенсии ( а мне всего лишь 34) и умереть. 2 года похода по врачам и ведро выпитых лекарств от сердца, давления, и пр. И вот однажды мне назначили золофт. 2 недели по 25, потом 50. Вот уже 1,5 года я живу как нормальный человек. Работаю, хожу и езжу сама. Дома остаюсь одна и не боюсь, наслаждаюсь тишиной и получаю удовольствие от просмотра фильмов. Скорая ко мне не ездит. Давление в норме, сердце спокойно. Я жива, дышу, люблю. После пережитого кошмара, который длился 3 года, я научилась ценить даже букашку на цветке. Я теперь заново родилась! Этот препарат мое спасение! Не бойтесь антидепрессантов! Можно жить без них, но назвать это жизнью невозможно!",Отзыв рекомендуют:12,6
"Антидепрессант Pfizer ""Золофт""",Deamon1990,"Россия, Фрязино",+4,Помог выбраться из глубочайшей депрессии,Одни плюсы)),"Если превысить дозировку, начинается перевозбуждение (мания).Но это поправимо, ведь дозировка подбирается индивидуально, и побочки, такие как тряска рук, тревожность и т.д. корректируются нейролептиками, лучше всего акинетоном.","Я много всего перепробовал. Но реально то, что мне помогло-это Золофт. Он помогает обычно даже тем, кому вообще ничего не помогает. Социофобию, панические атаки, депрессию убивает на ура.",Отзыв рекомендуют:11,0
"Антидепрессант Pfizer ""Золофт""",oksana-chucha,"Россия, Алушта",+69,"хороший препарат, помог при бессоннице","действует незаметно для вас, но эффективно",у меня была тошнота первое время,"После сильной психологической травмы примерно через полгода у меня началась жуткая бессонница. Казалось бы, уже все пережито, но видимо где-то в подкорке остались последствия стресса. Спокойная вроде бы, но не спала. ",Отзыв рекомендуют:8,2
"Антидепрессант Pfizer ""Золофт""",NadinDin,"Россия, Новороссийск",+64,Мой отзыв о лечении золофтом в течении ДВУХ ЛЕТ.,"Нормализует качество сна, снимает напряжение, раздражительность. Уходят тревога. Уходит невралгия.","Длительность лечения, некоторые побочки.","После затяжной депресси (была череда тяжелых событий: болезни родных, смерть подруги...) организм дал сбой. ",Отзыв рекомендуют:3,6
"Антидепрессант Pfizer ""Золофт""",Аноним382583,"Россия, Нижний Новгород",-0,Побочный эффект - панкреатит!,Все плюсы перекрыл панкреатит!,Побочные эффекты!,"Врач выписал Золофт купировать депрессию. Выпила в первый день 1 таблетку дозировкой 50-пол ночи не спала-поднялось давление и тахикардия, вторая ночь-тот же результат. ",Отзыв рекомендуют:7,2
