Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Teva ""Эсциталопрам-Тева""",yulyazmievskaya,"Украина, Житомир",+5802,Работает,Помогает при СРК,"Дорого, сложно найти, побочка","Таблетки Есциталопрам мне выписал один очень толковый врач-психотерапевт. Альтернативой этому препарату также был Ципралекс. Но Есциталопрам я нашла быстрее, поэтому пила его.",Отзыв рекомендуют:49,6
"Антидепрессант Teva ""Эсциталопрам-Тева""",denssan,"Россия, Москва",+40937,Помог,Эффект,Нет,"Антидепрессант Эсциталопрам-Тева я принимал в прошлом году, все из-за желания избавится от своего депресивного состояния. Вообще принимал несколько препаратов. Что касается данного лекарства, то могу сказать что эффект есть, но он наступает не сразу, первую неделю приема я его вообще не ощущал.",Отзыв рекомендуют:49,2
"Антидепрессант Teva ""Эсциталопрам-Тева""",Albina S,Украина,+40,Это аналог ципралекса.,Мне за год приема помогло.,Принимать нужно длительно,"Мне назначили ципралекс чуть более года назад. Но он очень дорогой, пришлось перейти на аналог, на эсциталопрам. Переход с одного лекарства на другое никак на меня не повлияло, мне что на одном, что на другом было одинаково очень плохо. Поэтому оценить разницу двух препаратов не могу. Со временем все стало проходить, налаживаться, то есть эффект однозначно от лечения был. Пила не один Эсциталопрам, а в комплексе с другими препаратами. Стала нормально спать, ну и самочувствие вообщем намного лучше, никаких особых побочек я на себе не ощутила, поначалу только сушило очень, и тело чесалось. Сейчас на 0,5 мг, только уже пью не эсциталопрам, а эзопрам.",Отзыв рекомендуют:8,0
"Антидепрессант Teva ""Эсциталопрам-Тева""",Пчела Мая,"Россия, Москва",+448,Помогает на работе,Результат,Сонливость,"Я решила самостоятельно начать принимать антидепрессант Эсциталопрам, так как устроилась на новую работу и очень дискомфортно стала себя чувствовать. Вот даже и не знаю почему все так. Словно не в своей тарелке, а в скорее вообще стала и дома себя чувствовать дискомфортно.",Отзыв рекомендуют:18,3
"Антидепрессант Teva ""Эсциталопрам-Тева""",Likasedalion,"Украина, Луганск",+650,Хороший и недорогой антидепрессант. Реально помогает,Относительно дешёвый антидепрессант,Синдром отмены,Здравствуйте! Хотела поделится своим опытом приёма препарата.,Отзыв рекомендуют:7,4
"Антидепрессант Teva ""Эсциталопрам-Тева""",ol83ru,"Россия, Москва",+17,"Достойный аналог "" Ципралекса""","Достойный аналог,цена,минимальные п.э.",Возможна прибавка веса,"Отзыв о "" Ципралексе "" я уже оставляла, и так как этот препарат не из дешевых, решила подыскать ему замену . Почитав отзывы психотерапевтов( они ссылались на ""Эсциталопрам"" именно фирмы "" Тева"")конечно же отправилась в аптеку. По предварительному заказу и предоплате, забрала препарат на следующий же день.)",Отзыв рекомендуют:4,0
"Антидепрессант Teva ""Эсциталопрам-Тева""",Душман,"Украина, Днепропетровск",+1,Вообще доволен лечением,"Легко переношу жару,спокоен,увеличелось время полового акта.",Не выявил,"Провел на войне 1,5 года. На второй год после возвращения стали трестись руки, ноги. Потом не мог ездить в транспорте, метро, в магазинах где много народу. Охатывало волнение, чувство что надо срочно выйти на воздух и др. Помогал алкоголь, но это не выход. Психиатр прописал эсцеталопрам. После месяца приема стало легче, но первые дни было еще хуже( это и должно быть). Полгода пропил курс. Прошло, дальше буду смотреть.",Отзыв рекомендуют:5,1
"Антидепрессант Teva ""Эсциталопрам-Тева""",Andizura,Молдова,+1,Синдром отмены !,Успокаивает и гасит панику,Тяжёлый синдром отмены,Здравствуйте ,Отзыв рекомендуют:5,0
"Антидепрессант Teva ""Эсциталопрам-Тева""",Аноним2270244,"Россия, Иркутск",+1,Реальность,Экономия,Нет,"Хочу поделится опытом может кому-то поможет. Принимаю эсциталопрам в течении 8 лет. От оригинала ципралекс до всех его дженериков. Врачи говорят о лучшей биодоступности оригинала. Считаю, что лучшее доказательство действия это личный опыт. Что ципралекс за 2 т. р, что ленуксин за 1500 р, что элицея за 600 р что наш отечественный за 250 р, на меня действует абсолютно одинаково. Уважаемые принимающие, если не видно разницы, так зачем переплачивать в 20 раз?. Поддерживайте отечественных производителей.",Отзыв рекомендуют:3,1
"Антидепрессант Teva ""Эсциталопрам-Тева""",Аноним2796847,"Россия, Екатеринбург",-0,Мне помог пока лучше всех.,Помогают.,Снижение либидо.,"Здравствуйте дорогие интересующиеся этим лекарством. Изначально всем желаю скорейшего выздоровления. Панические атаки, мании, неврозы вот не весь перечень моей болячки. Помогал только феназипам, выписали эсциталопрам 1/2. Пью 3 месяца сначала организм реагировал как будто все вокруг в розовых солнечных красках, оговорюсь начала под прикрытием феназипама, через месяц это прошло. Стала спокойней, панические атаки прекратились почти, потихоньку выкарабкиваюсь из плохих чувств. Но минус притупляет чувства и ощущения, не хватает эмоций жизненных. До приема наоборот была очень восприимчивой, часто плакала нервничала, а сейчас как истукан. Но не всегда так, бывает прорвет и поплачу становится легче ощущаю жизнь. Пью обычные наши российские канон фарма и березовский.",Отзыв рекомендуют:0,1
