Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Антидепрессант Алси-Фарма Флуоксетин,pjkbyf,"Россия, СПАСИБО-ЗА-ТО-ЧТО-ВЫ-ЕСТЬ",+24661,Я больше не боюсь психотропных средств.,Снимает хроническую депрессию.,Возможные побочные действия: отсутствие аппетита.,"Флуоксетин - антидепрессант, который может назначить Вам Психиатр или Невролог, если у Вас есть хроническая депрессия и проблемы с лишним весом.",Отзыв рекомендуют:50,16
Антидепрессант Алси-Фарма Флуоксетин,Рыжечка,"Россия, Москва",+1321,Бросила на третий день,Отбивает аппетит,Нарушает психику,"Мне этот препарат прописал врач, да не простой, а кандидат медицинских наук, работающий в известной клинике. Это я к тому, что и врачи не всегда могут предположить, что вам подойдет. ",Отзыв рекомендуют:5,0
Антидепрессант Алси-Фарма Флуоксетин,EndoX,Россия,+46226,Помогает,Эффективно,могут быть побочки,"Прописал врач, раняду с другими препаратами. Исходя из моих физических и психологических особенностей. Первый месяц - под наблюдением врача, так как возможны побочки.",Отзыв рекомендуют:2,0
Антидепрессант Алси-Фарма Флуоксетин,Пигмалион0077,"Россия, Олимпийская столица Сочи",+11045,Очень плохой препарат!,Нет,Очень опасные побочные эффекты,"Доброго времени суток, уважаемый читатель моего Отзыва!",Отзыв рекомендуют:30,13
Антидепрессант Алси-Фарма Флуоксетин,rest cure,"Украина, Днепропетровск",+12455,"Как стать овощем всего за неделю, моя история неудачного похудения с кучей побочных эффектов",На недолгий срок угнетает аппетит,"Синдром отмены, бессонница, быстрая утомляемость","С таким препаратом как ""Флуоксетин"" я знакома уже года 3. ",Отзыв рекомендуют:46,22
Антидепрессант Алси-Фарма Флуоксетин,Kerris,"Россия, Киров",+142,"И числа не идут, и врут календари, и если вдруг захочешь жрать, флуоксетин прими.","Быстрое похудение, хорошее настроение","Миллион и одна побочка, привыкание, ухудшение здоровья, тщетные попытки забеременеть после него, задержка месячных","На флуоксетин я наткнулась в одной из групп для похудения. Что уж там говорить, разные шуточки и разговоры об этом препарате преследовали меня на каждом шагу. И естественно, я им заинтересовалась. Обыскав одну-другую страницу гугла, я осознала, что это препарат вовсе не для похудения, а это-антидепрессанты. При чем, довольно таки сильные, которые в аптеке без отпуска врачей продавать, конечно же, не должны. Ну что уж тут говорить, ясен пончик, в первой же аптеке мне их продали без всяких ненужных вопросов. Стоят они копейки, но стоит учесть, что производителей там много, и у каждого производителя своя цена. Эту упаковку я купила в пределах семидесяти рублей.",Отзыв рекомендуют:9,1
Антидепрессант Алси-Фарма Флуоксетин,Кот-Филечка,Россия,+3432,Неплохой антидепрессант,Не вызывает набор веса,Индивидуально для каждого,"Как и любой антидепрессант, этот препарат для каждого индивидуален... Одним помогает, другим нет. Во всяком случае, побочных эффектов с него особых нет. И да... Он снижает чувство голода. Если антидепрессанты вроде амитриптилина могут у некоторых людей привести к лишнему весу, то здесь гораздо лучший вариант. Его выписывают в том числе при булимии, а это о многом говорит. Хотя очень увлекаться для похудения этим препаратом не стоит, да и не всем он от этого может помочь. Но если у человека депрессия и лишний вес, то чем травиться таблетками с побочками в виде излишнего веса- лучше уж флуоксетин. Да, и цена не большая. Но это моё субъективное мнение. А вообще, надо читать инструкцию и советоваться с адекватными врачами.",Отзыв рекомендуют:16,4
Антидепрессант Алси-Фарма Флуоксетин,cedoy,"Россия, Самара",+8369,Хороший антидепрессант и еще может помощь при запоях,"эффективно помогает при депрессии, недорогой",есть побочные эффекты,"У моей жены, после неудачной попытки похудеть с помощью препарата Редуксин, случилась серьезная депрессия. Тут дело не только в том, что попытка закончилась неудачно, думаю в основном из-за побочных эффектов данного средства. ",Отзыв рекомендуют:7,0
Антидепрессант Алси-Фарма Флуоксетин,udachamasha,"Россия, Москва",+7,Флуоксетин и от депрессии и помогает сбросить 5-6 кг!,Флуоксетин для похудения и вывода из депрессии!,Сухость во рту незначительная,"Назначил врач. Была депрессия, плохое настроение, упадок сил на фоне развода. Ничего не хотелось делать. Страх какой-то постоянный присутствовал. Аппатия была страшная, мысли дурные в голову лезли...",Отзыв рекомендуют:2,0
Антидепрессант Алси-Фарма Флуоксетин,buncer,"Россия, Новочебоксарск",+30,"он не для похудения, а для лечения депрессии и абстиненции","дёшево, помогает преодолеть стрессы, депрессию и вредные привычки",понижает либидо,"Антидепрессанты бывают разные и механизмы у них тоже разные. Механизм действия Флуоксетина это блокатор обратного всасывания серотонина (гормона уверенности, лидерства). Скажу сразу я не такой уж депрессующий, но заметил что частенько срываюсь на детях и жене, а ещё ""заедаю"" свои стрессы. Сигареты и алкоголь спасали но временно. Решил перейти на здоровое питание и вести здоровый образ жизни, отказался от алкоголя и табака, вот тут то мне и пригодился флуоксетин. Понимаете ли серотонин выделяется при ""позитивном подкреплении"" то есть вы к чему то привыкли и повторение привычки вызывает чувство уверенности в себе и чувство удовлетворения. а когда вы бросаете старые привычки (без разницы что) - серотонина становится меньше и мозгу требуется время чтоб научится жить без привычных подкрепителей. в это время вы раздражены и срываетесь на всём.",Отзыв рекомендуют:3,1
Антидепрессант Алси-Фарма Флуоксетин,Ангелина17,"Россия, Пятигорск",+1,Отличное средство от депрессии,Хорошее средство,"Есть побочные эффекты, ознакомьтесь с инструкцией!","Первый раз я попробовала Флуоксетин, когда хотела похудеть. Могу сказать, что в этом плане эти таблетки очень помогают сбросить вес путём притупления чувства голода. Когда я их принимала, я заметила улучшение настроения, прилив бодрости и некую лёгкую безразличность к окружающим",Отзыв рекомендуют:1,1
Антидепрессант Алси-Фарма Флуоксетин,Spiza,"Россия, НОВОАЛТАЙСК",+1152,Опасно!,Нет,Серьезные последствия для здоровья,"Началось все так. После гормональных таблеток я поправилась на 12 кг. Поскольку у меня неподвижная работа я не могла похудеть около года. Но однажды ко мне зашёл знакомый и рассказал, что его жена после родов очень хорошо похудела. ",Отзыв рекомендуют:2,2
Антидепрессант Алси-Фарма Флуоксетин,Jukki,"Россия, Котово",+100,"Препарат ""два в одном""","Дешево,лучший антидепрессант",Побочные эффекты,"Препарат ""два в одном"" - антидепрессант плюс средство от булимии. ",Отзыв рекомендуют:2,0
Антидепрессант Алси-Фарма Флуоксетин,balua,"Россия, таганрог",+11,Препарат очень хорош для похудения.,Влияет на аппетит.,Нельзя принимать алкоголь.,"Начала принимать препарат, так как была стрессовая ситуация. Лежала в больнице с ребенком и нервы были расшатаны. В аннотации написано, что препарат применяется для лечения бумелии, то есть он влияет на аппетит. И этот момент меня порадовал, аппетит надо было поубавить! Стала принимать по 20 мг один раз в день, в первой половине дня. Можно и по 1 таблетке 2 раза, но я побоялась. Эффект я заметила на второй день. Я стала намного спокойнее, сдержаннее. Аппетита нет, особенно что хорошо-не хотелось есть вечером! Единственный минус нельзя принимать алкоголь, флуоксетин усиливает действие алкоголя. По сравнению с сибутрамином, (он так же влияет на аппетит)у этого препарата меньше побочки и стоит он в разы дешевле. Пью его уже вторую неделю. Минус 2 кг. Собираюсь допить его месяц и потом перерыв.",Отзыв рекомендуют:1,0
Антидепрессант Алси-Фарма Флуоксетин,Ира 154,"Россия, Москва",+391,"Похудеть можно,маленькие секреты,как.","Настроение улучшилось,аппетит здорово убавился!",Нет.,"Начитавшись разнообразных отзывов про данный препарат, я его купила.",Отзыв рекомендуют:1,0
