Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Attika,Россия,+20000,Смотрю на жизнь как через тусклое стекло.,тотальное спокойствие,"головные боли, сонливость, безразличие ко всему","Врач поставил мне диагноз депрессия и назначил препарат «Пароксетин». Пришла я домой, почитала про него отзывы и обнаружила, что от этого антидепрессанта толстеет каждый второй, причем, не просто на 2-3 килограмма, а на 5-10. Толстеть мне ни в коем разе не хотелось, но вместо того, чтобы снова пойти на прием и попросить назначить мне другой АД, я решила назначить его себе самостоятельно. Ну да, «гениальная» мысль, но что сделано, то сделано. Я пошла в аптеку, показала провизорам рецепт на препарат и уговорила продать мне вместо «Пароксетина» «Флуоксетин», т. к. по степени набора веса он самый щадящий. Логика, конечно, сумасшедшая: у человека душа болит, а он думает о том, как бы не растолстеть. С другой стороны, не факт, что возможный набор веса не вогнал бы меня в еще большую депру. ",Отзыв рекомендуют:36,29
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Natsha,"Россия, Челябинск",+130677,"Похудеете, но какой ценой!",Цена просто символичная.,Побочные эффекты.,"Пишу отзыв о препарате антидепрессант Флуоксетин, так как испытала его действие на собственном горьком опыте. И может быть кто захочет его принимать, сначала задумается о последствиях.",Отзыв рекомендуют:25,10
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",shilovskaya83,"Россия, Геленджик",+5330,Спасение от дипрессии,"Действенный, недорогой, удобен в приеме, возвращает к жизни","Много противопоказаний, кое где не купить без рецепта.",Доброго времени суток!,Отзыв рекомендуют:59,14
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Марина Гейдрих,"Россия, Можайск",+32271,Мой антидепрессант.,"Реально помогает, даёт покой и равновесие.",Побочные эффекты. Особенно-нечёткость зрения.,"Доброго времени суток, дорогие мои Друзья.",Отзыв рекомендуют:47,23
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",cloud nine,"Россия, Москва",+14909,Меньше всего побочных эффектов,"Нет депрессии, нет булимии.",Оочень тяжело найти / купить,"В отзыве не будет нотаций и призывов пить данный препарат исключительно по назначению врача. Кому понадобился - все равно достанет. У меня РПП уже в течении долгого времени - около 8 лет. Сейчас, так сказать, длительная ремиссия. ",Отзыв рекомендуют:6,0
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Nelli2211,"Россия, Волгоград",+62,Побочных явлений нет,Эффект на лицо,Нет,"Апо-Флуксетин мне назначил частный психотерапевт, к которому я обратилась во время беременности, у меня были очень сильные страхи и депрессия.",Отзыв рекомендуют:4,0
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",marinda666,"Украина, Славянск",+3610,"конечно лучше их не принимать, но иногда без них никак",Быстрый эффект,много побочек,"Иногда бывают моменты в жизни когда не нервничать, в принципе, не возможно, и валерьянка как мертвому припарка, именно в такие моменты мне помогает Флуксен. Но однажды я не нашла этот препарат и мне предложили аналог капсулы Апо-Флуоксетин. По составу они практически идентичны, разные только производители и цена. В общем я взяла этот антидепрессант. Лично я разницы не почувствовала, действия были такими же. Этот антидепрессант помогает мне не отчаиваться и смотреть на проблемы с другого ракурса. но как и во многих лекарственных препаратах есть побочные действия. Во первых обостряется обоняние буквально с первого дня приема и иногда подташнивает, как во время токсикоза, во вторых пропадает аппетит, с одной стороны это хорошо, но если перестаешь принимать пишу с временем организм перестает ее усваивать и может быть анорексия. И в третьих действие не продолжительное, перестаешь принимать капсулы и эффект пропадает. Принимаю их лишь в крайнем случаи и то непродолжительное время.",Отзыв рекомендуют:8,3
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",пилигримка,"Россия, Тюмень",+6,"реально помогает, но есть маленькие минусы...",отлично помогает справиться с депрессией и плохими мыслями!,некоторый дискомфорт в первые дни применения,"Мою жизнь, в принципе нельзя назвать легкой, но жаловаться не стану, ибо сейчас все пришло более-менее в норму. Наверное, отчасти, это заслуга данного препарата.",Отзыв рекомендуют:1,1
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Натали3557,"Россия, Ростовская область",+42497,Не действует,"недорог, побочных эффектов у меня не было",на меня эффекта не оказал,"Обратилась к врачу психиатру за помощью в ситуации сильного стресса. Доктор выписала рецепт на флуоксетин. Купила. Препарат оказался недорогим. Перед приёмом прочла инструкцию. Стала принимать в соответствии с инструкцией и предписанием врача. Меня предупредили, что эффект должен проявиться не сразу, а через время регулярного приёма. Я всё добросовестно и ждала облегчения своего состояния. Но оно не наступило даже в конце назначенного мне курса лечения флуоксетином. Правда, и побочных эффектов я никаких не заметила, так же как и привыкания. Хорошо, что стоил он недорого - не жаль потраченных денег. ",Отзыв рекомендуют:2,0
"Антидепрессант APOTEX Inc. ""Апо-Флуоксетин""",Людмила2838889,"Россия, Владивосток",+4,Хороший препарат. Повышает настроение примерно через 15 дней,Не вызывает сонливости. Поднимает настроение.,У ВСЕХ Флуоксенинов в качестве побочки первое время может быть головная боль и прыщи.,"Через пару недель начинаешь чувствовать себя лучше. Естественно, что принимать Антидепрессанты нужно длительно и по назначению врача. Мне Флуоксетин подошел. До этого пару лет подбирали с психотерапевтом различные варианты Антидепрессантов. Пока не попробовала Флуоксетин. Разницу почувствовала. Моя депрессия проявлялась как круглосуточная сонливость, переедание, отсутствие каких-либо желаний и интересов. Бессонницами не страдала. ",Отзыв рекомендуют:0,0
