Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Антидепрессант Биоком Флуоксетин,Невыносимая,"Россия, где нет метро",+14194,"Флоуксетин моя награда за мучения, отличный антидепрессант",Меня успокоил,Ранние подъёмы,"Вот и я столкнулась с этим модным словом ""стресс"" и в полной мере на себе прочувствовала как это бывает и куда бежать и как избавиться от постоянных тревог и хоть немного поспать.",Отзыв рекомендуют:14,4
Антидепрессант Биоком Флуоксетин,maharishta,"Россия, Владимир",+33722,Как справиться с депрессией? Или с нервной булимией?,"Эффективный, не вызвавший сонливости и головокружений, антидепрессант.",Проявляется побочный эффект.,"Здравствуйте, друзья и гости отзовика!)",Отзыв рекомендуют:169,52
Антидепрессант Биоком Флуоксетин,denssan,"Россия, Москва",+40697,рекомендую,эффективное лекарство,по рецепту,"Если вы читаете этот отзыв, то думаю не зачем объяснять от чего это лекарство.",Отзыв рекомендуют:45,5
Антидепрессант Биоком Флуоксетин,Aleksandrovichhh,"Россия, Москва",+55,Хороший препарат,"Помогает, цена",Расширенные зрачки,"В нашем сумасшедшем мире, переполненном стрессом и всякого рода страданиями, очень сложно держаться подрячком и в позитиве. Со временем, у каждого взрослого человека проседает нервная система, он становится более тревожным, беспокойным, начинаются проблемы со сном. ",Отзыв рекомендуют:5,0
Антидепрессант Биоком Флуоксетин,Yana-Banana,"Россия, Москва",+25,"Работает-понятное дело, но вот стоит ли так вмешиваться в мозг?","Дешево, аппетит отбивает, накапливается в крови","Побочки, зомби эффект","Селективный ингибитор обратного захвата серотонина. Т. е., попадая в мозг, он блокирует серотонин от поступления обратно в места соединения нервных клеток мозга друг с другом. Что естественно способствует его накоплению, и что и вызывает в итоге эффекты такого ""псевдо-счастья"" и ""псевдо- хорошего настроения"". ",Отзыв рекомендуют:4,0
Антидепрессант Биоком Флуоксетин,Tatar246,"Россия, Екатеринбург",+15,Сомнительный препарат,"Помогает при нервной булимии, но не всем.","Пропадает сон, эйфория, не совсем адекватное поведение","Что такое депрессия, знаю не понаслышке. Совсем недавно мы победили жуткую болезнь моей родной сестрёнки: нервную анорексию. Причину, по которой весь этот кошмар начался, объяснить не могу.",Отзыв рекомендуют:3,0
Антидепрессант Биоком Флуоксетин,LukeryaLis,"Россия, Москва",+839,"Панацея - От всего и для всего. Стимулятор, энергетик!","абсолютная энергия, бюджетно, похудение, нормализация сна, настроение, не хочется курить, даёт силы","побочку надо перетерпеть, нельзя с алкоголем, сухость во рту","Шикарный препарат. Накоплен достаточной большой опыт его использования. Встречалась я с ним 3 раза. Первый раз он мне не подошёл, точнее я испугалась этой побочки, которая возникает на первых парах применения.",Отзыв рекомендуют:8,9
Антидепрессант Биоком Флуоксетин,Татали555,"Россия, Нижний Тагил",+406,хороший антидепрессант,действенный препарат,нельзя алкоголь,"Данный препарат я начала принимать в следствии тяжелых жизненных обстоятельств, которые вылились в постоянные бессонницы, и кошмары, редкие приступы паники, постоянные смены настроения, апатия, слезы, в общем говоря депрессивное состояние. Начала принимать без боязни, никакой заторможенной или вообще плохой реакции я не ощущала, побочных эффектов тоже не было, как и улучшения, но по прошествии недели, заметила что мне лучше- лучше на душе, стала меньше расстраиваться, и аппетит стал умеренным. Настроение не как обычно плохое а нормальное, нет нервных срывов, и плохих мыслей( почти нет), в общем улучшения на лицо, препарат делает свою работу однозначно. Принимала по одной таблетке в день, с утра после еды (в упаковке 2 блистера по 10шт). Самое главное помнить, данный препарат принимать по назначению врача, и нельзя употреблять алкоголь.",Отзыв рекомендуют:2,4
Антидепрессант Биоком Флуоксетин,kusyuka,"Украина, Киев",+415,Хороший препарат в стрессовых ситуациях,Недорогой. Изначально вызывает сонливость и заторможенность. Хорошо сбивает аппетит,Не везде продают. Пить нужно длительными курсами,"Не думала, что доживу когда-нибудь до такого рода препаратов, но факт. Я всегда была человеком сверхчувствительным и эмоциональным. При этом достаточно терпеливой, всегда умела в нужный момент переключить свои эмоции. Но видимо, дотерпелась. Последней каплей стали тяжелые роды и две ходки в детские больницы за первые пять месяцев жизни ребенка. Видимо и не выдержала.",Отзыв рекомендуют:1,0
Антидепрессант Биоком Флуоксетин,alana-97,"Россия, Москва",+78,не советую,ушла плаксивость,набрала вес,"уже год как меня мучает тревожное расстройство. Я уже перепробовала множество уколов, таблеток, витаминов, но никаких результатов. Ходила к психиатру, мне посоветовали данный антидепрессант, долго не решалась его начать принимать, но все же, переборов себя пришлось начать. ",Отзыв рекомендуют:1,0
Антидепрессант Биоком Флуоксетин,arina1860,"Россия, Краснодар",+11,Какое действие?,Цена и доступность,"Препарат не работает или работает не так как нужно, аллергическая реакция, раздражительность","Данные антидепрессанты принимала курсом. За весь период приема состояние никак не изменилось. Частые перемены настроения и тревожные сны добавились после приема данного препарата. Длительный же прием напрочь отбил желание что-либо делать, а чувство апатии и безразличия, как на себя, так и на окружающих не покидало. Начались проблемы с приемом пищи, есть не хотелось от слова совсем. В итоге близкое к дистрофическому телосложению и проблемы с желудком. По истечению курса лечения продолжила принимать препарат еще пару дней ( до недели). Появилась аллергическая реакция на коже. Красные пятна которые постоянно зудели и покрывали все большое пространство тела.",Отзыв рекомендуют:1,0
Антидепрессант Биоком Флуоксетин,Tajchka19,"Украина, Львов",+2,"Немного потерянное состояние, но в целом ничего так.","Хорошо думается после недели применения, более сосредоточен, спокоен и уравновешен.","По началу есть немного, тошнота, потеря сосредоточенности, сонливость","Живу в постоянных стрессах, то ли из-за жесткого графика роботы то ли из-за своего вспыльчивого характера, ну вообщем часто становиться плохо. Недавно вызывала скорую, кстати очень быстро реагируют и приедут даже в праздник, в любой район куда вам надо, оставлю ссылку на всякий случай, может кому-то понадобиться. Ну так вот, они посоветовали помимо других препаратов и Биоком. Честно говоря не особо нравятся антидепрессанты так как после любого жесткие помутнения, но раз врач говорит поможет значит поможет. Принимала где то неделю, единственное что у меня образовалось это тошнота. Теперь замечаю что стала более спокойна, уравновешенная. Если есть какие то проблемы с психическим состоянием или даже со сном, мне кажется это довольно таки неплохой вариант.",Отзыв рекомендуют:1,0
Антидепрессант Биоком Флуоксетин,Firesquirrel123,"Россия, Красноярск",+197,Жуть жуткая,Нет,"Снижение аппетита, раскоординация движений, спутанность сознания, сухость во рту","Эпиграф: ""Те, кто впадает в депрессию только осенью - ср... е позеры. Настоящие титаны тоски и печали пребывают в ней круглый год"".",Отзыв рекомендуют:2,0
Антидепрессант Биоком Флуоксетин,Malyanat,"Россия, Казань",+139,Неплохой препарат,"Дёшево,хороший эффект",Много побочек,"Один из самых известных антидепрессантов 20-го века, довелось, что и мне пришлось его пить. Первое время не ощущала эффекта, а через месяц поняла, что очень резко похудела и стала меньше находится в депрессивном состоянии. Неплохо отбивает аппетит, для наркозависимых эффект так же хорошо ощутим, после чистки крови становится легче и переноситься все без травм для психики. Пить можно только по назначению врача, самолечение с данным препаратом не самая лучшая вещь. Очень много побочных эффектов и это хорошо выражается, однако, при правильном приеме, все отлично. Не совмещается со многими препаратами и не желательно пить, если есть осложнения на сердце.",Отзыв рекомендуют:0,0
Антидепрессант Биоком Флуоксетин,Huanita,"Россия, Волгоград",+10,Этот препарат меня спас,"Помогает избавиться от тревожных состояний, апатии и некотролируемого аппетита. Снова появляется вкус к жизни",Снижение либидо,"Все началось с того, что в школе я была упитанной девочкой, а потом резко похудела из-за мальчика. И похудение стало главной целью. Сначала была анорексия, потом булимия. ",Отзыв рекомендуют:0,0
Антидепрессант Биоком Флуоксетин,Selena D,"Россия, Красноярск",+275,И хорошо и плохо. Навряд ли буду принимать еще,"Помогает не думать о проблемах, цена, есть эффект","Побочные эффекты, убивает психику","Здравствуй, читатель!",Отзыв рекомендуют:0,0
Антидепрессант Биоком Флуоксетин,Astewart,"Россия, Санкт-Петербург",-0,"Ужасный препарат,как и все антидепрессанты",Не заметила,"От них не худеешь,а только наоборот набираешь вес Очень много побочных эффектов Сложно прекратить пить","Начала пить по назначению врача. Лучше бы не пила их никогда. Первый месяц чувствовала себя хорошо и легко, потом становилось только хуже. Постоянная апатия, чувство одиночества, в итоге ты заедаешь стресс, но при этом ты как бы и не нервничаешь, не кричишь, не плачешь. Ещё из-за них бывает бессонница. Когда заметила ухудшения со здоровьем решила бросить, но не получилось. Начались сильные головные боли, тошнота, полная неадекватность сознания. Ходила как в тумане. Врач сказал, что пить их нужно полгода, либо год. Бросать следует постепенно. Уменьшая дозу. Но как это сделать непонятно, ведь они в капсулах и пила я их один раз в день с утра.",Отзыв рекомендуют:0,0
Антидепрессант Биоком Флуоксетин,MrTrickster,"Россия, Москва",+199,"В принципе, годный антидепрессант","Цена, действие",Иногда не работает,"Прописали его мне и моему другу при депрессии, и его действие на нас было неодинаковым.",Отзыв рекомендуют:5,0
Антидепрессант Биоком Флуоксетин,Aliksokolovskii,"Россия, Самара",+23,Отличный препарат,"дешевый, снижает аппетит, поднимает настроение",нужно ждать пока препарат накопится в крови,"Добрый вечер уважаемые читатели! Назначали препарат в 2018 году, пропил не долго, месяц назад снова попросил врача выписать мне данный антидепрессант. Не знаю как у вас, в нашем городе продается только по рецепту, отличная упаковка, удобно то, что препарат в капсулах, а не в таблетках. Безвкусный, если рядом нет воды запить не беда, его можно и так проглотить. Нужно дать время чтобы препарат накопился в крови, тогда он начнет действовать. Сразу эффекта можно не ждать. Не значительно снижает аппетит, поднимает настроение, успокаивает нервную систему, становишься не таким раздражительным, стоимость копеечная для такого прекрасного антидепрессанта.",Отзыв рекомендуют:0,0
Антидепрессант Биоком Флуоксетин,airbourne,"Россия, с.селечня",+108,Не для снижения тревожности...,"не много побочек, недорогой.",могут быть проблемы со сном и не борется с тревогой,"Добрый день. хочу высказать такие вот мысли по поводу этого антидепрессанта. как по- мне, антидепрессант обладает эффектом на уровне трициклических антидепрессантов, при том что имеет минимальные побочные эффекты и это один из главных его плюсов. нет седативного эффекта - второй плюс, ну и цена - довольно дешевый. что касается отрицательных моментов: пациентам у кого депрессии или тревожно-фобические расстройства - не рекомендую. если есть сильная тревога, то обойдите стороной, потому он может усилить эту тревогу. неплохо помогает при депрессии, булимии, анорексия и при обсессивно-компульсивном расстройстве(как в моем случае). при панических атаках тоже можно, но тут он слабоват... при приеме наблюдался плохой сон и повышение тревожности. засыпать было сложно и ухудшилось качество сна ...",Отзыв рекомендуют:9,1
Антидепрессант Биоком Флуоксетин,qwertyqwerty1982,"Россия, Москва",--3,Хороший препарат,Действительно лечит,Тахикардия,"Хочу написать об этом препарате, он вывел меня из тяжелой депрессии, долго подбирала антидепрессант и наконец нашла! Действие мягкое, не сильно ощутимо, особенно на начальном этапе лечения, медленно но верно восстанавливал мою психику, принимала его днем, на ночь бодрил, побочных не так много и не такие страшные!",Отзыв рекомендуют:2,0
Антидепрессант Биоком Флуоксетин,Nastasikananasik,"Россия, Москва",+51,Действенный препарат,"Отличный препарат, повышает настроение и снижает аппетит, не дорогой",Только по рецепту,Данный препарат был назначен мне от депрессии и булимии. ,Отзыв рекомендуют:2,0
Антидепрессант Биоком Флуоксетин,EllenBay,"Россия, Новосибирск",+7,Лично для меня нормально,"Цена, удобно",Пока не заметила,"На меня он действует немного иначе. Бессонница исчезла, сплю как младенец). До этого раньше 7-8 утра не засыпала(благо рабочий график гибкий) и просыпаюсь легко. Аппетит да, снизился до минимума, а я любитель вкусно поесть), по поводу снижения веса пока ничего не скажу, т. к принимаю все го пару недель, хотя подруга за месяц приёма скинула 6 кг) побочек для себя я не выявила",Отзыв рекомендуют:1,0
