Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант ГНЦЛС ""Флуоксетин""",Mel6pomena,"Украина, Полтава",+18211,Добрый доктор Айболит ...,"помогает собраться, сокращает эпизоды",много побочных реакций,"Сложно найти подходящий антидепрессант, даже если Вы подбираете его вместе с доктором, все равно приходится переживать ряд дискомфорта и не всегда удачных экспериментов, депрессивные эпизоды или навязчиво маниакальные расстройства могут увеличиваться когда ты только входишь в препарат.",Отзыв рекомендуют:36,17
"Антидепрессант ГНЦЛС ""Флуоксетин""",koshka7,"Украина, Ищу друзей",+16639,Помогает справится со стрессом,сначала помог,Потом не помог,"Пью обычно успоительные таблетки. Но когда они перестали помогать, решила что-то сильнее купить. выбрала в интернете, почитала отзывы и остановилась на флуоксетине. Продается без рецепта, цена доступная.",Отзыв рекомендуют:6,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",withoutasurname,"Россия, Мурманск",+32,"помогает, если пить по назначению.",помогает при употреблении по назначению,много побочных,"Лет 5 назад вычитала что флуоксетин при передозировке помогает при похудении. То-есть если выпивать по двадцать таблеток по двадцать миллиграмм, перестаешь хотеть есть, и побочное действие - анорексия. ",Отзыв рекомендуют:3,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",MrTrickster,"Россия, Москва",+199,"Неплохой препарат, но есть побочные реакции","Цена, работает",Может быть недостаточно эффективен при тяжёлой депрессии,"В принципе, как антидепрессант он неплох, особенно если принимать его в комплексе с чем-то (например, с оланзапином вместе действует на ура). Однако его действие проявляется спустя довольно-таки большое время и в случае, если вы пьёте достаточно большую дозу. ",Отзыв рекомендуют:5,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",Ассимиляция,"Украина, Донецк",+4,Вытаскивает на протяжении 7-ми лет,Бюджетно. Эффективно. Существенное облегчение симптомов депрессии. Отсутствие аппетита. Вес стоит или снижается.,"Сонливость, постоянное зевание, тошнота при зевании, искажение восприятия. Синдром отмены. Не стоит принимать с алкоголем.","Флуоксетин - селективный антидепрессант, лечит тревожные расстройства и депрессии.",Отзыв рекомендуют:1,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",gedeon777,"Великобритания, London",+8,хороший препарат,доступная цена и стойкий эффект,пониженное либидо,"Хороший препарат, стойкий эффект, остается надолго. К минусам -пониженное либидо и несовместимость с алкоголем и некоторыми транквилизаторами. Эффект наступил спустя неделю после начала применения",Отзыв рекомендуют:3,1
"Антидепрессант ГНЦЛС ""Флуоксетин""",Odara,"Молдова, Тирасполь",+15,Продается без рецепта.,"Дешево, продается без рецепта.",Много побочных действий.,"В первый раз когда принимала, очень помог, стало легче через 2 дня приема. Ощутила на себе побочный эффект - тошнота, потеря аппетита. За время приема похудела на 6 кг. Почти во всех аптеках продается без рецепта, не дорогой. Во второй раз принимала, через год, полегчало далеко не сразу, ближе к окончанию курса лечения.",Отзыв рекомендуют:1,1
"Антидепрессант ГНЦЛС ""Флуоксетин""",Аноним1672223,"Украина, Киев",-0,Препарат эффективный и доступный!,"Высокая эффективность, доступная цена, есть в большинстве аптек",Довольно жесткие побочные явления,"Принимаю Флуоксетин уже более 2-х лет. Пробовал уйти в ремиссию, но хватило меня лишь на пару месяцев. Но это не вина препарата, а скорее особенности моего организма! Моё депрессивное расстройство имеет гормональное происхождение- недостаток выработки серотонина. По этому велика вероятность того, что препарат мне придется принимать пожизненно. Такая вот история... Тау что, можно сказать, что Флуокчетин это",Отзыв рекомендуют:0,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",SM35,"Россия, Кострома",+3,Хороший препарат.,"Бодрит, снижает аппетит.",Нет.,"Попробовал его, когда прошла острая фаза депрессии. Снижает аппетит. Да и пить его надо долго, чтоб эффект был. Не советую пить перед сном.",Отзыв рекомендуют:0,0
"Антидепрессант ГНЦЛС ""Флуоксетин""",lida1995,"Россия, Ставрополь",+15,очень много побочек,Цена,"Очень много побочек, почти все на себе ощутила","День добрый. Я два года страдаю булимией, препарат прописал врач-психиатр. Пила его в течении двух месяцев, и все это время чувствовала себя овощем бесчувственным. Первые два дня абсолютно не было аппетита, в прямом смвсле заставляла себя есть. Началась апатия - ничего не хотелось делать. Могла часами лежать, и смотреть в потолок. Дальше лучше, начались мысли о суициде, постояные слезы, была раздражительной. Препарат можно охарактеризовать одной замечательной фразой - одно лечим, другое калечим. Да, булимия почти что ушла во время приема лекарства, но эти побочки, которые я в полной мере на себе ощутила - оно того не стоит...",Отзыв рекомендуют:0,0
