Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Препарат Канонфарма Флуоксетин,Насенька,"Россия, Железногорск",+619231,Надо жить дальше!,оказалось эффективным в моём случае,может быть потеря массы тела,"Поделюсь сегодня с вами отзывом о новом для меня препарате «Флукосетин». Не хотела я прибегать к этому средству. Но просто устала от своего состояния, которое мучает меня с самого лета. ",Отзыв рекомендуют:79,14
Препарат Канонфарма Флуоксетин,denssan,"Россия, Москва",+40697,Помогли,Цена,Нет,"Данный препарат я решил принимать самостоятельно, так как идти к врачам я предпочитаю в крайнем случае, ведь особой помощи от них не возможно получить, конечно есть исключения.",Отзыв рекомендуют:44,6
Препарат Канонфарма Флуоксетин,arisha-evra,"Россия, Иркутск",+8,Неплохое средство против депрессии и для усмирения аппетита,"после приема препарата наблюдала стрессоустойчивость, высокую роботоспособность, социальность и общительность","после приема препарата было расстройство желудка, мало эмоций","Недавно я захотела похудеть почти на 10 кг. 5 кг я скинула спокойно на диете ABC superlight и это с маленького веса. (Рост - 170, вес - 55кг.) Но потом начались проблемы - постоянное чувство голода, дикий аппетит и депрессия по этому поводу) А нужного веса я еще не достигла. Как я только ни пыталась усмирить свой аппетит, становилось только хуже. Я начала постоянно думать о еде( запретный плод сладок), тратить кучу денег на всякие вкусняшки и толстеть, толстеть, толстеть. Так я набрала скинутые 5 кг. обратно. Моему горю не было предела, когда я встала на весы после великого зажора. Я решила во что бы то ни стало добиться своей цели - 47 кг. Вела интернет-дневники, получала советы от других худеющих. Все шло не очень хорошо: я сначала худела, потом много ела, набирала кг, опять худела. Мне это все надоело, начались срывы, депрессия. В итоге я решила худеть с помощью флуоксетина - антидепрессанта, у которого побочное действие анорексия и потеря аппетита. Решила, так сказать, убить 2-х зайцев сразу: и от депрессии избавиться, и похудеть. Купила флуоксетин-канон - продали без рецепта. Начала пить одну капсулу в день. После таблетки у меня было ощущение какого-то умиротворения и спокойствия. Есть не хотелось. Мне понравился эффект и я стала пить 2 капсулы в день. Тут начались жуткие проблемы с желудком. Сначала я думала, что отравилась, но потом поняла, что это из-за флуоксетина. Аппетит ко мне вернулся такой-же, какой и был до таблеток. Я не толстела только из-за расстройства желудка. Но не смотря на это у меня было прекрасное настроение, была светлая голова, учеба сразу пошла в гору, раздражительность и апатия ушли. Но есть одно НО, кому-то оно может понравиться, кому-то - нет. Ты становишься с этими таблетками общительным, социальным, стрессоустойчивым и дображелательным роботом. Да, именно роботом. Эмоции практически пропадают, относишься ко всему с каким-то пофигизмом. Я даже прочитала где-то в отзывах о флуоксетине, что девушка, принимая их, разлюбила своего мужа. Все теплые чувства к нему прошли. Не знаю правда или нет. И да, еще я заметила, что он сильно снижает либидо и даже может вызвать аноргазмию. Ну, в общем, есть и минусы, и плюсы. Решать только Вам, принимать данный препарат или нет. Главное чтобы пользы от него было больше, чем вреда. Худеть с его помощью я не советую, а как антидепрессант можно попробовать, но только если Ваш организм его нормально воспримет и только по назначению врача и под его строгим наблюдением! Так как у антидепрессантов, в том числе и у флуоксетина есть более серьезные побочные действия, вплоть до суицида. Надеюсь, отзыв был вам полезен и Вы 10 раз подумайте перед тем, как использовать данный препарат в целях похудения. Будьте стройными и жизнерадостными",Отзыв рекомендуют:8,0
Препарат Канонфарма Флуоксетин,annaberdnik,"Украина, Полтава",+29,Эффективное похудение!,Легко не кушать,"Апатия, тахикардия (побочные эффекты)","Этот препарат я покупала, чтобы похудеть. Узнала о нем в паблике одной из социальных сетей. Флу, флуша - так его называют помешанные анорексички, которые рыщут в сети, дабы отыскать эффективные методы для похудения, чтобы быть тощими. ",Отзыв рекомендуют:6,0
Препарат Канонфарма Флуоксетин,Офра,"Россия, Тольятти- в отъезде",+8501,Оптимальный антидепрессант,Не вызывает зависимости,Не нашла,Всем привет! ,Отзыв рекомендуют:26,7
Препарат Канонфарма Флуоксетин,belkatoropyga,"Украина, Сумы",+44,"Не грусти, как поц, один – принимай флуоксетин.","Дешевизна, эффективность с первых дней приема",Возможны побочные явления,"Этот препарат – препарат счастливчиков. Во всех смыслах. Он не только заставляет мозг думать, что организм счастлив, но также подходит тем везунчикам, которые не имеют возможности переплачивать за препараты этого класса с другим действующим веществом. Если флуоксетин подошел и не вызвал побочек – вас однозначно поцеловал бог.",Отзыв рекомендуют:4,0
Препарат Канонфарма Флуоксетин,Irinkoer,"Россия, Ярославль",+287,"Довольно слабый АД, подходит для легких депрессий",Эффективен в случаях легких депрессий,Неэффективен при тяжелых депрессиях,"Перепробовала кучу антидепрессантов, в том числе и флуоксетин. Флуоксетин - антидепрессант из класса селективных ингибиторов обратного захвата серотонина, первый из этого класса и далеко не самый эффективный. По эффективности уступает пароксетину, сертралину и эсциталопраму. Наиболее распространенная побочка - тошнота, снижение аппетита, снижение веса. Поэтому многие принимают флуоксетин как средство для борьбы с лишним весом. Он гораздо дешевле чем специально созданный для этих целей редуксин, например. Однако не следует забывать, что его основное действие - антидепрессивное, и человеку со здоровой психикой он может навредить - вызвать депрессию. В целях снижения веса принимать категорически не реклмендую. Как антидепрессант - можно, но подойдет только в случаях нетяжелых депрессий. Мне не подошел.",Отзыв рекомендуют:4,0
Препарат Канонфарма Флуоксетин,Южка,"Россия, Москва",+331,Депрессия с обжирательствами,цена,депрессия,Всем привет:).,Отзыв рекомендуют:3,0
Препарат Канонфарма Флуоксетин,Matryoshka,"Россия, Москва",+3,"Флуоксетин для тех,кто не в теме",Можно было бы хорошее настроение и потеря веса...но не такой ценой.В данном случае плюсом не считаю,"У многих не хватает серого вещ-ва,чтобы понять,что это не игрушка.При неправильном,ненужном употреблении вредит организму","Ввод в курс дела тех, для кого это просто антидепрессант. Если Вы попали в эту категорию, искренне за Вас рад. Теперь начнем. Прозак, в русскоречье флуоксетин-это капсуловидные двухцветные (бело-зеленые) таблетки, не просто так отпускаемые по рецепту. ",Отзыв рекомендуют:3,2
Препарат Канонфарма Флуоксетин,val14,"Россия, Санкт-Петербург",+113,вызвал обратное действие,цена,обратная реакция,"Данный препарат мне назначила врач, предварительно поговорив со мной. Она решила, что флуоксетин поможет мне решить сразу 2 моих проблемы. Немного похудеть и успокоиться. Сразу же смутила цена лекарства, но врач сразу же предупредила меня об этом. ",Отзыв рекомендуют:3,0
