Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",LacertaBanana,"Россия, Омск",+885,При эпилепсии отличный препарат,Результат,"Побочные эффекты, цена",Сейчас утро и я вам хочу поведать о препарате Ламиктал.,Отзыв рекомендуют:16,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",karolinazaiika,"Россия, Екатеринбург",+578,ЕСли надо -значит надо,"минимум побочных эффектов,",цена,"У моей дочки в 5,5 мес начались судороги -тянуло половину тела. СМотреть было страшно, а диагноза никто не ставил, ОНа уже ходила за ручку, сидела, только не гулила и не лепетала. ",Отзыв рекомендуют:9,2
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Pharaoh07,"Россия, Белгород",+514,Хороший препарат.Один из лучших.Он мне очень помог!,Надёжность; Качество;,Цена,"Сегодня мне бы хотелось рассказать вам, дорогие читатели о втором, употребляемым мною препарате. Ранее я рассказывал о препарате «Трилептал», но, пришлось перейти на другой, а именно, «Ламиктал», он же «Ламотриджин» Постепенно перехожу на этот препарат. Взаимодейтвие с другими препаратами как вам уже известно, разрешено. Препарат отличный. Благодаря ему, можно сказать, я заново родился. Лекарственный препарат выходит в виде таблеток. Таблетки выпускаются по 25,50,100 мг. В одной упаковке 3 блистера по 10 таблеток. В итоге, 30 таблеток. Употребляю по 100мг в раза в сутки. Упаковки хватает на 15 дней. Внешне, таблетки от светло-жёлтого до жёлто-коричневого цвета, многранные. Но, ведь, внешний вид, не показатель! Главное, чтоб помогали. И с этим они справляются на УРА. Рад что обратился в платную клинику. Ремиссия очень большая. С каждым днём только радуюсь, но, конечно, хотелось бы и без них быть в таком-же состоянии. Думаю, всё будет хорошо. Наука не стоит на месте. Таблетки следует глотать целиком, не разжёвывать, не разламывать. При каких-либо сбоях в употреблении, сразу-же нужно обратиться к вашему врачу. Пропускать приём, категорически нельзя!!!! Таблетки приобретаются только по рецепту. Никак иначе. Заказываем в местной аптеке. Рецепты выдавали несколько раз, после фармацевт заказывал просто так. Скажем так, постоянный покупатель. «Ламиктал» употребляю чуть больше года. Ни одного приступа, к счастью не было. До 100 мг. пришёл постепенно. Необходимо следовать переходному режиму дозирования, который включает в себя повышение дозы препарата «Ламиктал» в течение 6 недель до поддерживающей стабилизирующей дозы. В общем, специализирующийся на этом врач, всё расскажет. Без его указаний ничего самим делать нельзя. Как всем известно, у каждого лекарственного препарата есть побочное действие. Их, большое количество, распределяются по группам. Всё зависит от оргонизма. Как мне кажется, мною были выявлены такие, как бессонница, головокружение, головная боль. Всё это, конечно не каждый день. Редко, но, бывает.",Отзыв рекомендуют:14,3
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",nnastiy,"Россия, Томск",+3648,Будьте осторожны. Ламиктал (Ламолеп) может вызвать сильную аллергию,"Кому-то, наверно,помогает. Можно отменить одномоментно.",Очень аллергичен.,"После срыва ремиссии, привыкания к тореалу, мы перепробовали массу препаратов, в том числе и ламолеп. При сильных приступах он в монотерапии не рабоатет. Поэтому мы он был нам добавлен к конвулексу. Как и все противоэпилептические препараты он вводится медленно. ",Отзыв рекомендуют:6,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",echomason,"Россия, Москва",+4,"Помогает, но если берешь перерыв - все.","Купирует приступы, нормализует общее состояние, удобная форма таблеток, можно делить.","Очень много побочек, сыпь, ночные кошмары, сложно делать перерывы приема препаратов.","С Ламиктала (он же Ламотриджин) перевели после Кеппры. Болею эпилепсией где-то три-четыре года, думала что сильнее Кеппры для меня же ничего не будет. Так как у меня аномальная реакция практически на все таблетки, изменение препарата для меня было очень непривычно, даже побаивалась. ",Отзыв рекомендуют:4,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Albina S,Украина,+40,Выписал невролог,Побочек не было,Цена.,"Мне его выписывали в комплексе с ципралексом. Прочитав аннотацию, я боялась его пить, много побочек описано. Сказала об этом врачу. Он мне сказал, что аннотация пишется не для таких мнительных, как я, а для самих же медиков. Вообщем бред какой-то. У меня не было таких симптомов, как описано в аннотации, ну иногда лишь судорога может схватить ногу, и то очень редко. Ну вообщем врачу виднее, что выписывать. Пропила я его в дозе немного меньшей, чем мне назначалось, все было нормально, никаких побочек не отмечалось. Наверное какой-то эффект он оказал, я ведь его пила в комплексе с другими препаратами, поэтому раз мне стало лучше в той проблеме, что у меня была, то значит врач был прав. Не болейте, все будет хорошо.",Отзыв рекомендуют:3,1
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",alya 1201,"Россия, Москва",-0,эффекта не было,Отсутствие синдрома отмены,"Сонливость, снижение активности","Сыну было 3 месяца, когда начались первые приступы судорог. В неврологии поставили диагноз: Симптоматическая мультифокальная эпилепсия. Начинали с конвулекса, в начале вроде приступы ушли, но через месяц восстановились и стали серийными. Добавили к лечению ламиктал. Начинали с 1/8 таблетки от 25 мг, с постепенным увеличением дозы раз в неделю. Эффекта я не видела, говорила это нашему врачу, на что он мне отвечал:""Доза маленькая, должно накопиться достаточное количество препарата"". Прошло 2 месяца, а судороги так и шли, ребенок стал пассивным, много спал. Его нам так он и не отменил, пока я не обратилась к другому неврологу. Как оказалось нам выставили неправильный диагноз, отсюда и неэффективное лечение.",Отзыв рекомендуют:1,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",galantnost86,"Россия, Москва",-0,Алергичный,Ровняет настроение,Аллергичный,"Напишу кратко. Назначили ламитор в качестве доп терапии по 0,25 мг на ночь, через неделю началась такая крапивница, ставим капельницы с дексаметазоном. Вообщем фото прилагаю! Очень осторожно! ",Отзыв рекомендуют:4,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Nikcita,"Россия, Иркутск",-0,Мне помог!,Заметен эффект в первые дни. Стало легче.,Иногда сложно уснуть.,"Болею БАР. Эфект почувствовал на второй день. Очень быстро начала проходить опатия, появились внутренние силы. Стало на много легче. Пью уже почти пол года. Настроения выравниваются в целом с этим припаратом при биполярке легче жить.",Отзыв рекомендуют:3,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Аноним2974495,"Россия, Москва",-0,Прервал курс на 5-й день с начала приёма,"судя по отзывам, кому-то помог с проблемой дереализации.","цена , побочки","К психиатру я обратился с проблемой ДР. Он прописал мне курс кветиапин + ламотриджин со старта маленьких доз (25мг того и другого). Кветиапин 3 раза в день, ламотриджин один раз. С первого дня у меня проявились побочные эффекты в виде тошноты, тахикардии (105 ударов в минуту) и акне. Со стороны ламиктала были именно болючие прыщи на лице, причем появились они чуть ли не на первый день. Смысла пить Ламиктала нет, т. к. работать он начинает в купе с каким-либо АД.",Отзыв рекомендуют:0,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",zelva2013,"Россия, Волгоград",+17,Высокое качество,"отсутствуют побочные эффекты, удобная упаковка, реально помогает",не со всеми противоэпилептическими средствами сочетается,Длина текста: 649 (без пробелов: 575),Отзыв рекомендуют:1,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Gulnara40,Казахстан,+1,Не подошел,"Стабилизатор настроения, повышает его, не вызвал предполагаемой аллергии.","Участились приступы, как оказалось, это был побочный эффект от него.","Нам назначили этот препарат вторым к Кеппре. Я очень на него надеялась. Но как только мы стали наращивать дозировку, у нас пошла аггравация приступов, в итоге решили отменить этот препарат. Да и на печень он повлиял. Очень жаль. Единственных два плюса могу выделить, это то, что он не вызвал у нас аллергии и у дочки от него повышалось настроение. ",Отзыв рекомендуют:1,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Asatta123,"Украина, Донецк",+28,Препарат сугубо индивидуален,"доступный препарат, при правильном назначении дает хороший эффект",подходит не для все эпиприступов,"моему сыну назначили препарат Ламиктал при симптоматической эпилепсии. Эффект был отрицательный, ребенок стал нервный, приступы увеличились. Прием препарата продолжался один месяц, врачи надеялись, что будет накопительный эффект, но его не произошло. Возможно при обычной эпи он более эффективен, Во всяком случае я часто слышала о полной отмене приступов при приеме препарата Ламиктал",Отзыв рекомендуют:1,0
"Противосудорожный препара GlaxoSmithKline ""Ламиктал""",Irinkoer,"Россия, Ярославль",+287,мне помогает,в описании,для меня нет,"Диагноз - подозрение на БАР (есть проявления, которые дают врачам повод усомниться), болею около 3 лет.",Отзыв рекомендуют:9,1
