date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-20 18:52:04,Aki_Hirako,,1,0,1,"Я пишу шо меня после абъюза менталка не уебала и что последнее время у меня нет раздражения.... Флуоксетин ты ли это",,,,1252309075158761477,https://twitter.com/Aki_Hirako/status/1252309075158761477
2020-04-20 15:44:35,Anna45140283,,0,0,1,"Вот это мои желтенькие солнышки ,из-за сложившейся ситуации в России я остаюсь в Китае на неопределённое время и в борьбу со скукой вступают эти малыши (китайский флуоксетин) Пожелайте удачи мне завтра их купить #рпп #диета #похудение",,,,1252261890224467970,https://twitter.com/Anna45140283/status/1252261890224467970
2020-04-19 22:15:02,bipolarandtoxic,,0,0,0,"Флуоксетин пора из овоща превращаться в активного человека, поэтому Ноотропил",,,,1251997763635740678,https://twitter.com/bipolarandtoxic/status/1251997763635740678
2020-04-19 20:27:20,gediminaK,,0,0,0,"Окей. Раз не получается естественным путём забыть про него То мои помощники на ближайшее время: феназепам,флуоксетин и успокоительные ",,,,1251970660349489154,https://twitter.com/gediminaK/status/1251970660349489154
2020-04-19 16:42:38,DaryaUshakova,,1,0,3,"Оля скупает чёрные шмотки, а я открыла перечень антидепрессантов. Ну что, Флуоксетин, снова здравствуй снова как дела?",,,,1251914110440222722,https://twitter.com/DaryaUshakova/status/1251914110440222722
2020-04-19 12:25:48,pleasegim,,0,0,2,"девочки если у кого-нибудь есть рецептик на флуоксетин дайте пожалуйста",,,,1251849479268990978,https://twitter.com/pleasegim/status/1251849479268990978
2020-04-19 09:40:32,cleverwing,,1,0,2,"Второй раз я рухнула прямо посреди ординаторской, так что свидетели были очень квалифицированные и с сибазоном. После того как флуоксетин отменила, судороги меня практически оставили. Следующий тяжелый приступ стал реакцией на алкоголь, с тех пор я не пью.",,,,1251807887820754945,https://twitter.com/cleverwing/status/1251807887820754945
2020-04-19 09:40:32,cleverwing,,1,0,1,"агентов и на мерцающий свет. В мой первый переезд в другой город старшие коллеги прописали мне флуоксетин от депрессии, пока я была в интернатуре, на него я и среагировала. Я теряла сознание дважды, один раз без свидетелей, поэтому не знала, что у меня эпилепсия - думала, обморок",,,,1251807886482776066,https://twitter.com/cleverwing/status/1251807886482776066
2020-04-19 05:52:13,MaxFelsh,,1,0,1,"Пью таблеточки(флуоксетин), которые должны мне вроде как настроение поднимать, но кроме ненависти к себе и полного безразличия, я нечего не чувствую",,,,1251750430813696000,https://twitter.com/MaxFelsh/status/1251750430813696000
2020-04-18 21:47:19,misssisya,,0,0,1,"Мда С каждым днём все хуже себя чувствую Найти флуоксетин тоже все сложнее От этого ещё повышается тревожность и становится хуже",,,,1251628402068672519,https://twitter.com/misssisya/status/1251628402068672519
2020-04-18 19:45:00,Kettie_Green,synthetic_party,0,0,0,"Флуоксетин",,,,1251597619329150976,https://twitter.com/Kettie_Green/status/1251597619329150976
2020-04-18 18:33:57,fantasmeriac,,1,0,5,"флуоксетин сероквель милдронат йод витаминД фенибут кавинтон",,,,1251579738008760325,https://twitter.com/fantasmeriac/status/1251579738008760325
2020-04-18 15:27:21,SlezaObnulenca,BambarbiaName,1,0,0,"Если много, то усугубляет. Это же депрессант и тяжёлый наркотик. Но если не идёт то остаются мухоморы. Меня они вытащили из клинической депры, когда не помогали ни нормотимики ни флуоксетин.",,,,1251532780183453699,https://twitter.com/SlezaObnulenca/status/1251532780183453699
2020-04-18 13:16:17,fantasmeriac,mrsiar,1,0,3,"в аптеках кончился флуоксетин",,,,1251499796801753088,https://twitter.com/fantasmeriac/status/1251499796801753088
2020-04-18 09:04:53,a1in0chka,,1,0,3,"Спасибо всем кто меня поддерживал когда мне было плохо флуоксетин я тебя искренне люблю и никогда не брошу",,,,1251436527399440385,https://twitter.com/a1in0chka/status/1251436527399440385
2020-04-17 07:24:57,upgrade16121,ordicyn,0,0,1,"помню два года пил флуоксетин, так у меня зубы шататься начали..",,,,1251048991883698177,https://twitter.com/upgrade16121/status/1251048991883698177
2020-04-17 05:32:19,tenebrisflos,,0,1,4,"аэхаххахв женюсь на том, кто достанет мне флуоксетин.)))))))",,,,1251020645598715904,https://twitter.com/tenebrisflos/status/1251020645598715904
2020-04-16 12:51:56,JOBPobFxH3Myx8F,FakeStateRF,0,0,1,"У меня такое постоянно.Это аллергические высыпания.Лечу,димедрол,тавегил,супрастин,и гормоны.Флуоксетин,также помогает.",,,,1250768890092752896,https://twitter.com/JOBPobFxH3Myx8F/status/1250768890092752896
